"","INCIDENT_NUMBER","LOCATION_DISTRICT","OFFENS_DESCRIPTION","ymd","month","wday","LONGTITUDE","LATITUDE","LOCATION_ADDRESS","CITY","STATE"
"2998","2016-088959",64,"AUTOTHEFT",2016-08-07,8,"Sunday",-92.4001423,34.7507482,"11305 BIRCHWOOD DR","Little Rock"," Arkansas"
"2999","2016-031671",63,"AUTOTHEFT",2016-03-16,3,"Wednesday",-92.3767729,34.756115,"34 BROOKRIDGE DR","Little Rock"," Arkansas"
"3000","2016-128568",93,"BREAKING ",2016-11-15,11,"Tuesday",-92.4325492,34.6686741,"10 ARNOLD PALMER CV","Little Rock"," Arkansas"
"3001","2016-131384",64,"BATTERY 1ST DEGREE",2016-11-22,11,"Tuesday",-92.3812078,34.7441644,"9601 BAPTIST HEALTH DR","Little Rock"," Arkansas"
"3002","2016-117061",52,"BATTERY 1ST DEGREE",2016-10-16,10,"Sunday",-92.2818533,34.7347104,"1522 S STATE ST","Little Rock"," Arkansas"
"3003","2016-124612",50,"AUTOTHEFT",2016-11-02,11,"Wednesday",-92.3349901,34.7718455,"5501 COUNTRY CLUB BLVD","Little Rock"," Arkansas"
"3004","2016-123488",62,"AUTOTHEFT",2016-11-01,11,"Tuesday",-92.3497511,34.7193257,"4 STONECREST CIR","Little Rock"," Arkansas"
"3005","2016-095353",42,"AUTOTHEFT",2016-04-18,4,"Monday",-92.2207941,34.7281907,"1 AIRPORT RD","Little Rock"," Arkansas"
"3006","2016-102072",82,"AUTOTHEFT",2016-09-09,9,"Friday",-92.3600976,34.6644785,"7319 KNOLLWOOD RD","Little Rock"," Arkansas"
"3007","2016-084278",50,"BREAKING ",2016-07-28,7,"Thursday",-92.3291921,34.7618839,"1104 N JACKSON ST","Little Rock"," Arkansas"
"3008","2016-111859",42,"BATTERY 2ND DEGREE",2016-10-04,10,"Tuesday",-92.2453681,34.7429392,"2100 E 6TH ST","Little Rock"," Arkansas"
"3009","2016-042379",62,"BATTERY 2ND DEGREE",2016-04-19,4,"Tuesday",-92.3432867,34.7168478,"6201 COLONEL GLENN RD","Little Rock"," Arkansas"
"3010","2016-005433",91,"BREAKING ",2016-01-15,1,"Friday",-92.3620587,34.6431586,"11701 DOE RUN DR","Little Rock"," Arkansas"
"3011","2016-008822",43,"BATTERY 1ST DEGREE",2016-01-24,1,"Sunday",-92.2595197,34.7376063,"1009 WELCH ST","Little Rock"," Arkansas"
"3012","2016-001525",64,"BREAKING ",2016-01-04,1,"Monday",-92.4058403,34.7549527,"111 N BOWMAN RD","Little Rock"," Arkansas"
"3013","2016-105065",61,"AUTOTHEFT",2016-09-17,9,"Saturday",-92.3642225,34.7290678,"2607 ELKHART DR","Little Rock"," Arkansas"
"3014","2016-041268",53,"BATTERY 2ND DEGREE",2016-04-16,4,"Saturday",-92.3164152,34.7258803,"3800 W ROOSEVELT RD","Little Rock"," Arkansas"
"3015","2016-023129",62,"BREAKING ",2016-03-02,3,"Wednesday",-92.3428403,34.7193728,"3702 S UNIVERSITY AVE","Little Rock"," Arkansas"
"3016","2016-105696",50,"AUTOTHEFT",2016-09-18,9,"Sunday",-92.3348456,34.7580769,"716 N POLK ST","Little Rock"," Arkansas"
"3017","2016-004044",51,"BREAKING ",2016-01-11,1,"Monday",-92.2854708,34.7416333,"908 S CROSS ST","Little Rock"," Arkansas"
"3018","2016-008352",64,"AUTOTHEFT",2016-01-22,1,"Friday",-92.4010931,34.7575595,"11419 MARA LYNN RD","Little Rock"," Arkansas"
"3019","2016-054808",53,"BATTERY 1ST DEGREE",2016-05-19,5,"Thursday",-92.306585,34.7418194,"923 BOOKER ST","Little Rock"," Arkansas"
"3020","2016-100128",52,"AUTOTHEFT",2016-09-05,9,"Monday",-92.281816,34.723979,"2500 S GAINES ST","Little Rock"," Arkansas"
"3021","2016-104998",60,"AUTOTHEFT",2016-09-17,9,"Saturday",-92.3457498,34.7503929,"6415 W 3RD ST","Little Rock"," Arkansas"
"3022","2016-081649",71,"AUTOTHEFT",2016-07-20,7,"Wednesday",-92.44487,34.762072,"701 WELLINGTON HILLS RD","Little Rock"," Arkansas"
"3023","2016-009260",82,"BATTERY 1ST DEGREE",2016-01-25,1,"Monday",-92.3243,34.6630473,"3944 ARAPAHO","Little Rock"," Arkansas"
"3024","2016-067905",81,"BATTERY 1ST DEGREE",2016-06-20,6,"Monday",-92.3445039,34.6878863,"6800 GEYER SPRINGS RD","Little Rock"," Arkansas"
"3025","2016-091149",91,"AUTOTHEFT",2016-08-12,8,"Friday",-92.3770659,34.6675423,"8801 BASELINE RD","Little Rock"," Arkansas"
"3026","2016-014202",61,"BREAKING ",2016-02-06,2,"Saturday",-92.3595099,34.7515909,"7617 BRIARWOOD CIR","Little Rock"," Arkansas"
"3027","2016-044027",62,"AUTOTHEFT",2016-04-21,4,"Thursday",-92.3716251,34.723789,"3217 LONGCOY ST","Little Rock"," Arkansas"
"3028","2016-110548",51,"BATTERY 1ST DEGREE",2016-09-30,9,"Friday",-92.3002708,34.7390473,"2400 W 13TH ST","Little Rock"," Arkansas"
"3029","2016-024326",81,"BREAKING ",2016-03-04,3,"Friday",-92.33535,34.688997,"6600 LANCASTER RD","Little Rock"," Arkansas"
"3030","2016-133495",64,"AUTOTHEFT",2016-11-28,11,"Monday",-92.3988747,34.7480473,"600 HARDIN RD","Little Rock"," Arkansas"
"3031","2016-003206",90,"BREAKING ",2016-01-09,1,"Saturday",-92.3539003,34.682103,"7500 S UNIVERSITY AV","Little Rock"," Arkansas"
"3032","2016-083104",53,"AUTOTHEFT",2016-07-25,7,"Monday",-92.305442,34.74224,"2822 W 10TH ST","Little Rock"," Arkansas"
"3033","2016-002549",64,"BREAKING ",2015-01-07,1,"Wednesday",-92.3918341,34.715627,"4023 S SHACKLEFORD RD","Little Rock"," Arkansas"
"3034","2016-012992",52,"AUTOTHEFT",2016-02-03,2,"Wednesday",-92.288791,34.7490044,"2411 DR MARTIN LUTHER KING DR","Little Rock"," Arkansas"
"3035","2016-009431",63,"BREAKING ",2016-01-26,1,"Tuesday",-92.3619094,34.7653974,"10 ATHENA CT","Little Rock"," Arkansas"
"3036","2016-124206",64,"BATTERY 1ST DEGREE",2016-11-03,11,"Thursday",-92.3726662,34.7390017,"1500 JOHN BARROW RD","Little Rock"," Arkansas"
"3037","2016-004550",71,"BREAKING ",2016-01-12,1,"Tuesday",-92.4163167,34.7551242,"12800 CHENAL PKWY","Little Rock"," Arkansas"
"3038","2016-020385",90,"BREAKING ",2016-02-24,2,"Wednesday",-92.3785468,34.6957495,"9208 HERNDON RD","Little Rock"," Arkansas"
"3039","2016-026392",62,"AUTOTHEFT",2016-03-09,3,"Wednesday",-92.3640297,34.7038228,"7915 WESTWOOD AVE","Little Rock"," Arkansas"
"3040","2016-140541",42,"BATTERY 1ST DEGREE",2016-12-15,12,"Thursday",-92.2477642,34.743979,"400 KIMBALL ST","Little Rock"," Arkansas"
"3041","2016-020535",82,"BATTERY 2ND DEGREE",2016-02-24,2,"Wednesday",-92.355886,34.662761,"7000 VALLEY DR","Little Rock"," Arkansas"
"3042","2016-139604",42,"AUTOTHEFT",2016-12-12,12,"Monday",-92.2429642,34.7223534,"2508 E ROOSEVELT RD 806","Little Rock"," Arkansas"
"3043","2016-022549",93,"BREAKING ",2016-02-28,2,"Sunday",-92.4209283,34.677104,"6 OLYMPIA CT","Little Rock"," Arkansas"
"3044","2016-009782",63,"BREAKING ",2016-01-27,1,"Wednesday",-92.3739182,34.7634296,"1221 RESERVOIR RD","Little Rock"," Arkansas"
"3045","2016-137059",71,"BREAKING ",2016-12-06,12,"Tuesday",-92.406871,34.77131,"2020 HINSON LOOP RD","Little Rock"," Arkansas"
"3046","2016-059428",91,"AUTOTHEFT",2016-05-28,5,"Saturday",-92.31593,34.6681389,"3400 BASELINE RD","Little Rock"," Arkansas"
"3047","2016-008519",54,"BREAKING ",2016-01-23,1,"Saturday",-92.3228851,34.7404711,"4407 W 12TH ST","Little Rock"," Arkansas"
"3048","2016-107766",52,"BATTERY 2ND DEGREE",2016-09-23,9,"Friday",-92.2898776,34.7318633,"1501 WRIGHT AVE","Little Rock"," Arkansas"
"3049","2016-112171",52,"BATTERY 1ST DEGREE",2016-10-05,10,"Wednesday",-92.291045,34.730824,"1609 W 19TH ST","Little Rock"," Arkansas"
"3050","2016-120722",93,"BATTERY 2ND DEGREE",2016-10-25,10,"Tuesday",-92.4415438,34.6451635,"12109 STAGECOACH RD","Little Rock"," Arkansas"
"3051","2016-103728",53,"AUTOTHEFT",2016-09-14,9,"Wednesday",-92.3073165,34.7383104,"1314 BOOKER ST","Little Rock"," Arkansas"
"3052","2016-015737",64,"BREAKING ",2016-02-05,2,"Friday",-92.3963193,34.7546118,"10 SHACKLEFORD DR","Little Rock"," Arkansas"
"3053","2016-063462",54,"BATTERY 1ST DEGREE",2016-06-09,6,"Thursday",-92.3316672,34.7323791,"2112 S VAN BUREN ST","Little Rock"," Arkansas"
"3054","2016-125517",63,"AUTOTHEFT",2016-11-06,11,"Sunday",-92.384665,34.764801,"10100 N RODNEY PARHAM RD","Little Rock"," Arkansas"
"3055","2016-004133",81,"BREAKING ",2016-01-11,1,"Monday",-92.340564,34.675041,"5701 DREHER LN","Little Rock"," Arkansas"
"3056","2016-108278",71,"AUTOTHEFT",2016-09-24,9,"Saturday",-92.4214868,34.7522017,"13111 W MARKHAM ST","Little Rock"," Arkansas"
"3057","2016-018042",82,"AUTOTHEFT",2016-02-17,2,"Wednesday",-92.3581702,34.6564827,"10207 EVA LN","Little Rock"," Arkansas"
"3058","2016-051898",60,"BATTERY 2ND DEGREE",2016-05-12,5,"Thursday",-92.3475732,34.7610987,"6700 H ST","Little Rock"," Arkansas"
"3059","2016-056673",93,"BREAKING ",2016-05-23,5,"Monday",-92.4359856,34.6707649,"10 JACK NICKLAUS CV","Little Rock"," Arkansas"
"3060","2016-114928",53,"AUTOTHEFT",2016-10-11,10,"Tuesday",-92.309829,34.7448971,"3224 LAMAR ST","Little Rock"," Arkansas"
"3061","2016-104869",52,"BATTERY 2ND DEGREE",2016-09-16,9,"Friday",-92.2906454,34.725913,"1521 W 24TH ST","Little Rock"," Arkansas"
"3062","2016-138784",82,"BATTERY 1ST DEGREE",2016-12-11,12,"Sunday",-92.3550094,34.6647061,"6906 KNOLLWOOD RD","Little Rock"," Arkansas"
"3063","2016-120500",54,"AUTOTHEFT",2016-10-25,10,"Tuesday",-92.326457,34.7319497,"4708 W 22ND ST","Little Rock"," Arkansas"
"3064","2016-113333",60,"BATTERY 2ND DEGREE",2016-10-01,10,"Saturday",-92.3494401,34.7513369,"6711 W MARKHAM ST","Little Rock"," Arkansas"
"3065","2016-096886",64,"AUTOTHEFT",2016-08-27,8,"Saturday",-92.373143,34.7369795,"1750 JOHN BARROW RD","Little Rock"," Arkansas"
"3066","2016-007534",60,"BREAKING ",2016-01-20,1,"Wednesday",-92.3503844,34.750046,"6900 LUCERNE DR","Little Rock"," Arkansas"
"3067","2016-091329",40,"BATTERY 2ND DEGREE",2016-08-14,8,"Sunday",-92.263924,34.7401355,"700 E 9TH ST","Little Rock"," Arkansas"
"3068","2016-112576",62,"BATTERY 1ST DEGREE",2016-10-05,10,"Wednesday",-92.3714323,34.7273315,"2811 LONGCOY ST","Little Rock"," Arkansas"
"3069","2016-043478",63,"BATTERY 1ST DEGREE",2016-04-21,4,"Thursday",-92.3913693,34.7547288,"10600 W MARKHAM ST","Little Rock"," Arkansas"
"3070","2016-076816",64,"AUTOTHEFT",2016-07-09,7,"Saturday",-92.4017705,34.7280796,"2923 PEACH TREE DR","Little Rock"," Arkansas"
"3071","2016-112752",42,"BREAKING ",2016-10-05,10,"Wednesday",-92.2512889,34.7441291,"1700 E 4TH ST","Little Rock"," Arkansas"
"3072","2016-140390",90,"BREAKING ",2016-12-14,12,"Wednesday",-92.4007055,34.7090713,"21 REMINGTON DR","Little Rock"," Arkansas"
"3073","2016-084313",50,"AUTOTHEFT",2016-07-27,7,"Wednesday",-92.3347782,34.7578517,"708 N POLK ST","Little Rock"," Arkansas"
"3074","2016-096836",62,"AUTOTHEFT",2016-08-27,8,"Saturday",-92.3719914,34.7408486,"8818 KANIS RD","Little Rock"," Arkansas"
"3075","2016-002588",63,"BREAKING ",2016-01-07,1,"Thursday",-92.3927462,34.7703817,"10720 N RODNEY PARHAM RD","Little Rock"," Arkansas"
"3076","2016-033279",63,"AUTOTHEFT",2016-03-26,3,"Saturday",-92.3833869,34.7630394,"9804 N RODNEY PARHAM RD","Little Rock"," Arkansas"
"3077","2016-142169",91,"AUTOTHEFT",2016-12-20,12,"Tuesday",-92.366066,34.646953,"11500 CHICOT RD","Little Rock"," Arkansas"
"3078","2016-016092",60,"BREAKING ",2016-02-12,2,"Friday",-92.369314,34.779905,"8 RIDGEVIEW CT","Little Rock"," Arkansas"
"3079","2016-006679",63,"BREAKING ",2016-01-18,1,"Monday",-92.3739182,34.7634296,"1221 RESERVOIR RD","Little Rock"," Arkansas"
"3080","2016-004624",64,"BREAKING ",2016-01-13,1,"Wednesday",-92.3929335,34.7525642,"201 S SHACKLEFORD RD","Little Rock"," Arkansas"
"3081","2016-021700",61,"BREAKING ",2016-02-27,2,"Saturday",-92.3710081,34.7361428,"3 KELTWOOD CV","Little Rock"," Arkansas"
"3082","2016-022949",53,"BATTERY 1ST DEGREE",2016-03-01,3,"Tuesday",-92.3102044,34.7403271,"3300 W 12TH ST","Little Rock"," Arkansas"
"3083","2016-012476",51,"BREAKING ",2016-02-02,2,"Tuesday",-92.2804601,34.7437087,"814 W 7TH ST","Little Rock"," Arkansas"
"3084","2016-013807",63,"BREAKING ",2016-02-06,2,"Saturday",-92.3718564,34.7912116,"16 RIVER RIDGE CIR","Little Rock"," Arkansas"
"3085","2016-067970",90,"BREAKING ",2016-06-20,6,"Monday",-92.3483032,34.7004995,"27 N MEADOWCLIFF DR","Little Rock"," Arkansas"
"3086","2016-035610",40,"AUTOTHEFT",2016-04-01,4,"Friday",-92.266339,34.7454388,"423 E 3RD ST","Little Rock"," Arkansas"
"3087","2016-102816",54,"AUTOTHEFT",2016-09-11,9,"Sunday",-92.3253014,34.7395232,"1306 ADAMS ST","Little Rock"," Arkansas"
"3088","2016-113972",50,"AUTOTHEFT",2016-10-08,10,"Saturday",-92.3244925,34.7715064,"2120 BEECHWOOD ST","Little Rock"," Arkansas"
"3089","2016-128776",42,"AUTOTHEFT",2016-09-25,9,"Sunday",-92.2207941,34.7281907,"1 AIRPORT RD","Little Rock"," Arkansas"
"3090","2016-102801",54,"BATTERY 1ST DEGREE",2016-09-12,9,"Monday",-92.3003001,34.7481533,"2507 W 3RD ST","Little Rock"," Arkansas"
"3091","2016-047735",50,"AUTOTHEFT",2016-04-28,4,"Thursday",-92.3136015,34.7705839,"2100 REBSAMEN PARK RD","Little Rock"," Arkansas"
"3092","2016-018026",70,"BREAKING ",2016-02-18,2,"Thursday",-92.394671,34.768118,"1601 N SHACKLEFORD RD","Little Rock"," Arkansas"
"3093","2016-044586",81,"AUTOTHEFT",2016-04-22,4,"Friday",-92.3330059,34.6757507,"8104 STANTON RD","Little Rock"," Arkansas"
"3094","2016-078226",71,"BATTERY 1ST DEGREE",2016-07-13,7,"Wednesday",-92.4095533,34.7502856,"12214 WESTHAVEN DR","Little Rock"," Arkansas"
"3095","2016-138394",54,"BATTERY 2ND DEGREE",2016-12-10,12,"Saturday",-92.3302079,34.7498693,"1 STADIUM DR","Little Rock"," Arkansas"
"3096","2016-004585",71,"BREAKING ",2016-01-12,1,"Tuesday",-92.410818,34.752332,"9 ENTERGY CT","Little Rock"," Arkansas"
"3097","2016-028681",72,"AUTOTHEFT",2016-03-15,3,"Tuesday",-92.4606579,34.7709231,"6 CHENAL WOODS DR","Little Rock"," Arkansas"
"3098","2016-004691",71,"AUTOTHEFT",2016-01-12,1,"Tuesday",-92.4003114,34.7578023,"504 GREEN MOUNTAIN","Little Rock"," Arkansas"
"3099","2016-062213",62,"BATTERY 2ND DEGREE",2016-06-06,6,"Monday",-92.3665935,34.7077228,"8110 ASCENSION RD","Little Rock"," Arkansas"
"3100","2016-069119",81,"BREAKING ",2016-06-23,6,"Thursday",-92.3497484,34.6833106,"6601 FORBING RD","Little Rock"," Arkansas"
"3101","2016-018400",71,"BREAKING ",2016-02-19,2,"Friday",-92.4089401,34.7586921,"501 NAPA VALLEY DR","Little Rock"," Arkansas"
"3102","2016-002788",71,"BREAKING ",2016-01-07,1,"Thursday",-92.4173395,34.7603021,"3 SAINT CHARLES CT","Little Rock"," Arkansas"
"3103","2016-108035",91,"BATTERY 2ND DEGREE",2016-09-24,9,"Saturday",-92.3708925,34.6629743,"9617 WILDERNESS RD","Little Rock"," Arkansas"
"3104","2016-097896",40,"BATTERY 2ND DEGREE",2016-08-30,8,"Tuesday",-92.2731118,34.7464503,"300 W 3RD ST","Little Rock"," Arkansas"
"3105","2016-134128",80,"AUTOTHEFT",2016-11-29,11,"Tuesday",-92.332274,34.6906609,"6402 BUTLER RD","Little Rock"," Arkansas"
"3106","2016-121646",90,"AUTOTHEFT",2016-10-27,10,"Thursday",-92.3571391,34.6907781,"4 DEBBIE CIR","Little Rock"," Arkansas"
"3107","2016-116461",64,"AUTOTHEFT",2016-10-03,10,"Monday",-92.3812078,34.7441644,"9601 BAPTIST HEALTH DR","Little Rock"," Arkansas"
"3108","2016-113812",53,"BATTERY 1ST DEGREE",2016-10-08,10,"Saturday",-92.3100504,34.7304051,"3212 W 23RD ST","Little Rock"," Arkansas"
"3109","2016-023976",40,"BREAKING ",2016-03-04,3,"Friday",-92.2659436,34.7407669,"518 E 8TH ST","Little Rock"," Arkansas"
"3110","2016-140574",90,"BATTERY 2ND DEGREE",2016-12-16,12,"Friday",-92.3462414,34.6989634,"5620 S UNIVERSITY AV","Little Rock"," Arkansas"
"3111","2016-131003",63,"AUTOTHEFT",2016-11-21,11,"Monday",-92.3761559,34.7711385,"2000 RESERVOIR RD","Little Rock"," Arkansas"
"3112","2016-014606",62,"BATTERY 2ND DEGREE",2016-02-05,2,"Friday",-92.3589219,34.716374,"4015 STANNUS ST","Little Rock"," Arkansas"
"3113","2016-118818",60,"AUTOTHEFT",2016-10-20,10,"Thursday",-92.3572342,34.7683311,"7510 INDIANA AVE","Little Rock"," Arkansas"
"3114","2016-079777",93,"AUTOTHEFT",2016-07-16,7,"Saturday",-92.426623,34.6645813,"35 WESTFIELD CT","Little Rock"," Arkansas"
"3115","2016-058735",40,"BATTERY 2ND DEGREE",2016-05-29,5,"Sunday",-92.2700964,34.736767,"1214 CUMBERLAND ST","Little Rock"," Arkansas"
"3116","2016-008950",93,"BREAKING ",2016-01-25,1,"Monday",-92.4256965,34.667018,"29 ROSEWALL LN","Little Rock"," Arkansas"
"3117","2016-019853",50,"BREAKING ",2016-02-22,2,"Monday",-92.2667117,34.7476084,"100 OTTENHEIMER","Little Rock"," Arkansas"
"3118","2016-121338",40,"AUTOTHEFT",2016-10-26,10,"Wednesday",-92.2762396,34.7368099,"400 W 13TH ST","Little Rock"," Arkansas"
"3119","2016-059419",62,"BATTERY 2ND DEGREE",2016-05-31,5,"Tuesday",-92.343854,34.7187777,"6200 COLONEL GLENN RD","Little Rock"," Arkansas"
"3120","2016-004591",64,"BREAKING ",2016-01-12,1,"Tuesday",-92.3929965,34.7408765,"1301 S SHACKLEFORD RD","Little Rock"," Arkansas"
"3121","2016-042780",70,"AUTOTHEFT",2016-04-19,4,"Tuesday",-92.390562,34.773939,"2221 WENTWOOD VALLEY DR","Little Rock"," Arkansas"
"3122","2016-126703",81,"AUTOTHEFT",2016-11-09,11,"Wednesday",-92.3511937,34.6700048,"6602 BASELINE RD","Little Rock"," Arkansas"
"3123","2016-136502",50,"AUTOTHEFT",2016-12-03,12,"Saturday",-92.2954,34.755585,"2210 CANTRELL RD","Little Rock"," Arkansas"
"3124","2016-013976",53,"BREAKING ",2016-02-06,2,"Saturday",-92.3077786,34.7372661,"3017 W 15TH ST","Little Rock"," Arkansas"
"3125","2016-134163",81,"AUTOTHEFT",2016-11-29,11,"Tuesday",-92.3350671,34.6856209,"5204 WYCLIFF DR","Little Rock"," Arkansas"
"3126","2016-012532",51,"BREAKING ",2016-02-03,2,"Wednesday",-92.2820216,34.7459658,"1000 W CAPITOL AVE","Little Rock"," Arkansas"
"3127","2016-104169",53,"BREAKING ",2013-08-29,8,"Thursday",-92.3088518,34.745511,"3200 W 7TH ST","Little Rock"," Arkansas"
"3128","2016-009632",64,"BREAKING ",2016-01-26,1,"Tuesday",-92.3948238,34.7427335,"1200 S SHACKLEFORD RD","Little Rock"," Arkansas"
"3129","2016-117874",62,"BATTERY 2ND DEGREE",2016-10-18,10,"Tuesday",-92.343854,34.7187777,"6200 COLONEL GLENN RD","Little Rock"," Arkansas"
"3130","2016-025229",91,"BATTERY 2ND DEGREE",2016-03-07,3,"Monday",-92.3770659,34.6675423,"8801 BASELINE RD","Little Rock"," Arkansas"
"3131","2016-021758",54,"BATTERY 1ST DEGREE",2016-02-27,2,"Saturday",-92.319755,34.7275458,"2608 S ELM ST","Little Rock"," Arkansas"
"3132","2016-065715",90,"BREAKING ",2016-06-15,6,"Wednesday",-92.3314901,34.7174558,"3503 MABELVALE PIKE LN","Little Rock"," Arkansas"
"3133","2016-138645",40,"AUTOTHEFT",2016-12-10,12,"Saturday",-92.2656166,34.7456272,"219 RIVER MARKET AVE","Little Rock"," Arkansas"
"3134","2016-117203",81,"AUTOTHEFT",2016-10-17,10,"Monday",-92.3041786,34.6881062,"2401 W 65TH ST","Little Rock"," Arkansas"
"3135","2016-097154",81,"AUTOTHEFT",2016-08-28,8,"Sunday",-92.3385155,34.6739615,"5502 DICKENS LN","Little Rock"," Arkansas"
"3136","2016-139750",64,"AUTOTHEFT",2016-12-14,12,"Wednesday",-92.3974665,34.7574581,"11114 BEVERLY HILLS DR","Little Rock"," Arkansas"
"3137","2016-137704",80,"BATTERY 2ND DEGREE",2016-12-08,12,"Thursday",-92.3372819,34.7031193,"5517 W 51ST ST","Little Rock"," Arkansas"
"3138","2016-032888",64,"AUTOTHEFT",2016-03-25,3,"Friday",-92.3761606,34.734676,"2123 LABETTE MANOR DR","Little Rock"," Arkansas"
"3139","2016-085149",62,"BREAKING ",2016-07-30,7,"Saturday",-92.3729361,34.7107294,"8724 COLONEL GLENN RD","Little Rock"," Arkansas"
"3140","2016-007003",71,"BREAKING ",2016-01-12,1,"Tuesday",-92.4050768,34.7672669,"1502 GREEN MOUNTAIN DR","Little Rock"," Arkansas"
"3141","2016-081480",91,"BATTERY 2ND DEGREE",2016-07-21,7,"Thursday",-92.3661877,34.6701665,"8021 BASELINE RD","Little Rock"," Arkansas"
"3142","2016-016797",64,"BREAKING ",2016-02-14,2,"Sunday",-92.4068189,34.741578,"1311 S BOWMAN RD","Little Rock"," Arkansas"
"3143","2016-006091",81,"BREAKING ",2015-01-16,1,"Friday",-92.336563,34.669047,"5300 BASELINE RD","Little Rock"," Arkansas"
"3144","2016-121869",50,"AUTOTHEFT",2016-10-27,10,"Thursday",-92.3395783,34.7663169,"1501 N UNIVERSITY AVE","Little Rock"," Arkansas"
"3145","2016-106963",82,"AUTOTHEFT",2016-09-22,9,"Thursday",-92.3515425,34.655695,"6510 MABELVALE CUT OFF RD","Little Rock"," Arkansas"
"3146","2016-007764",51,"BREAKING ",2016-01-21,1,"Thursday",-92.2846341,34.7387537,"1119 W 12TH ST","Little Rock"," Arkansas"
"3147","2016-112368",71,"AUTOTHEFT",2016-10-05,10,"Wednesday",-92.4214868,34.7522017,"13111 W MARKHAM ST","Little Rock"," Arkansas"
"3148","2016-030103",93,"AUTOTHEFT",2016-03-17,3,"Thursday",-92.421696,34.6767924,"29 AUGUSTA CT","Little Rock"," Arkansas"
"3149","2016-040327",61,"BATTERY 2ND DEGREE",2016-04-14,4,"Thursday",-92.345759,34.7346447,"1820 JOYCE CT","Little Rock"," Arkansas"
"3150","2016-013347",70,"BREAKING ",2016-02-05,2,"Friday",-92.4162257,34.7960857,"4710 SAM PECK RD","Little Rock"," Arkansas"
"3151","2016-120397",50,"AUTOTHEFT",2016-10-24,10,"Monday",-92.3110131,34.7573542,"3306 HILL RD","Little Rock"," Arkansas"
"3152","2016-107447",42,"AUTOTHEFT",2016-09-22,9,"Thursday",-92.2625163,34.7397897,"707 INTERSTATE 30","Little Rock"," Arkansas"
"3153","2016-081922",71,"AUTOTHEFT",2016-07-21,7,"Thursday",-92.4242597,34.7572676,"13500 CHENAL PKWY","Little Rock"," Arkansas"
"3154","2016-064809",61,"BREAKING ",2015-06-13,6,"Saturday",-92.3535868,34.7371695,"1701 LEANDER DR","Little Rock"," Arkansas"
"3155","2016-135904",62,"AUTOTHEFT",2016-12-04,12,"Sunday",-92.3612155,34.7262777,"2914 WYNNE DR","Little Rock"," Arkansas"
"3156","2016-015196",50,"AUTOTHEFT",2016-02-09,2,"Tuesday",-92.3121734,34.7597534,"25 OAKWOOD RD","Little Rock"," Arkansas"
"3157","2016-068344",61,"AUTOTHEFT",2016-06-20,6,"Monday",-92.3494594,34.7344012,"6 ROANE CIR","Little Rock"," Arkansas"
"3158","2016-125295",54,"AUTOTHEFT",2016-11-05,11,"Saturday",-92.3319077,34.7208194,"5200 ASHER AVE","Little Rock"," Arkansas"
"3159","2016-116472",64,"AUTOTHEFT",2016-10-15,10,"Saturday",-92.375269,34.7523047,"9101 W MARKHAM ST","Little Rock"," Arkansas"
"3160","2016-009481",50,"BREAKING ",2015-01-26,1,"Monday",-92.330496,34.772263,"5114 COUNTRY CLUB BLVD","Little Rock"," Arkansas"
"3161","2016-000841",81,"BREAKING ",2016-01-02,1,"Saturday",-92.3378219,34.6719451,"8505 SHELLEY DR","Little Rock"," Arkansas"
"3162","2016-122767",93,"BREAKING ",2016-10-25,10,"Tuesday",-92.4311552,34.6799231,"25 FALCON CT","Little Rock"," Arkansas"
"3163","2016-136195",91,"BREAKING ",2016-12-03,12,"Saturday",-92.371531,34.669452,"8419 BASELINE RD","Little Rock"," Arkansas"
"3164","2016-027976",60,"BATTERY 1ST DEGREE",2016-03-14,3,"Monday",-92.3422723,34.7506978,"304 S UNIVERSITY AVE","Little Rock"," Arkansas"
"3165","2016-006924",72,"BREAKING ",2016-01-19,1,"Tuesday",-92.4520319,34.759374,"16900 CHENAL","Little Rock"," Arkansas"
"3166","2016-072068",61,"BATTERY 2ND DEGREE",2016-06-29,6,"Wednesday",-92.3647944,34.7310117,"4 CLOIE CIR","Little Rock"," Arkansas"
"3167","2016-003746",80,"AUTOTHEFT",2016-01-08,1,"Friday",-92.3389682,34.7025454,"5119 PRIMROSE LN","Little Rock"," Arkansas"
"3168","2016-131301",82,"BATTERY 1ST DEGREE",2016-11-21,11,"Monday",-92.3523307,34.667068,"6401 BASELINE RD","Little Rock"," Arkansas"
"3169","2016-138570",82,"BATTERY 2ND DEGREE",2016-12-10,12,"Saturday",-92.3229133,34.6628577,"9601 ITHICA DR","Little Rock"," Arkansas"
"3170","2016-083719",53,"AUTOTHEFT",2016-07-25,7,"Monday",-92.3077327,34.7237825,"2900 S WOODROW ST","Little Rock"," Arkansas"
"3171","2016-024700",43,"BATTERY 2ND DEGREE",2016-03-05,3,"Saturday",-92.2505202,34.7070858,"11 DETROIT ST","Little Rock"," Arkansas"
"3172","2016-019641",82,"AUTOTHEFT",2016-02-21,2,"Sunday",-92.3600205,34.6576563,"7308 MILFORD DR","Little Rock"," Arkansas"
"3173","2016-026522",40,"BREAKING ",2016-03-02,3,"Wednesday",-92.2726256,34.7372167,"1200 MAIN ST","Little Rock"," Arkansas"
