"","lon","lat"
"1",-92.1586294,34.7339853
"2",-92.3809705,34.6517229
"3",-92.400317,34.7578497
"4",-92.3347011,34.7229026
"5",-92.3350286,34.741862
"6",-92.3339967,34.7212108
"7",-92.4101518,34.6763894
"8",-92.349932,34.654989
"9",-92.3137893,34.6733641
"10",-92.304131,34.688131
"11",-92.3598996,34.7058424
"12",-92.3071929,34.7336518
"13",-92.3339967,34.7212108
"14",-92.327343,34.6890023
"15",-92.4227184,34.6717816
"16",-92.4227184,34.6717816
"17",-92.4299277,34.6755922
"18",-92.3637509,34.7126975
"19",-92.1889197,34.7139109
"20",-92.3339967,34.7212108
"21",-92.3356194,34.7050606
"22",-92.4047799,34.6500902
"23",-92.4080935,34.6610486
"24",-92.3236451,34.660814
"25",-92.335634,34.724321
"26",-92.3224145,34.6610056
"27",-92.2896851,34.7360096
"28",-92.3350286,34.741862
"29",-92.3318887,34.6594911
"30",-92.3336031,34.7436583
"31",-92.3350286,34.741862
"32",-92.3349323,34.7235024
"33",-92.3307939,34.6924991
"34",-92.3339967,34.7212108
"35",-92.2765698,34.7486381
"36",-92.3596082,34.6841392
"37",-96.6551293,32.8091751
"38",-92.4311117,34.759355
"39",-92.3700828,34.6523222
"40",-92.4001093,34.7461247
"41",-92.360129,34.7902877
"42",-92.4227184,34.6717816
"43",-92.3655718,34.6439865
"44",-92.3343365,34.7379796
"45",-92.4274779,34.638702
"46",-92.4265322,34.6586297
"47",-92.334198,34.740258
"48",-92.4080935,34.6610486
"49",-92.3339967,34.7212108
"50",-92.3339884,34.7218157
"51",-92.3432867,34.7168478
"52",-92.3432867,34.7168478
"53",-92.3152175,34.7681601
"54",-92.3451693,34.6684778
"55",-92.3341039,34.7432604
"56",-92.3350286,34.741862
"57",-92.3697357,34.6498237
"58",-92.3757896,34.6497928
"59",-92.2973552,34.7314211
"60",-92.4098766,34.7701135
"61",-92.2798727,34.7493779
"62",-92.2904878,34.7149376
"63",-92.200064,34.722213
"64",-92.3689453,34.6735274
"65",-92.3350286,34.741862
"66",-92.3376323,34.7022128
"67",-92.3180547,34.6678467
"68",-92.2917481,34.737545
"69",-92.2585063,34.7364902
"70",-92.2927781,34.7503694
"71",-92.3457789,34.71887
"72",-92.3791638,34.746133
"73",-92.2715294,34.7226434
"74",-92.3215075,34.7431982
"75",-92.2669245,34.7479329
"76",-92.381752,34.651853
"77",-92.2445475,34.7383628
"78",-92.2589005,34.7428069
"79",-92.4021156,34.7457401
"80",-92.2895482,34.7257717
"81",-92.6032573,34.7399569
"82",-92.3239973,34.6646551
"83",-92.353192,34.6560306
"84",-92.2895948,34.7464809
"85",-92.2701863,34.7438531
"86",-92.3731289,34.6473823
"87",-92.3692345,34.6454708
"88",-92.3347396,34.7302815
"89",-92.3772164,34.6514496
"90",-92.4294544,34.6591092
"91",-92.3724541,34.6488856
"92",-92.4877971,34.8175116
"93",-92.4060054,34.7063095
"94",-92.413673,34.6300016
"95",-92.429611,34.6704145
"96",-92.3928908,34.6667077
"97",-92.429611,34.6704145
"98",-92.3972252,34.7485992
"99",-92.4001093,34.7461247
"100",-92.4001093,34.7461247
"101",-92.3972252,34.7485992
"102",-92.3972252,34.7485992
"103",-92.429611,34.6704145
"104",-92.3678272,34.6538128
"105",-92.4162154,34.6352095
"106",-92.4272214,34.7506588
"107",-92.3972252,34.7485992
"108",-92.3347011,34.7229026
"109",-92.4351172,34.8026027
"110",-92.4001093,34.7461247
"111",-92.4001093,34.7461247
"112",-92.3339967,34.7212108
"113",-92.4055452,34.795379
"114",-92.4069878,34.7956441
"115",-92.4022157,34.6508982
"116",-92.4454571,34.739559
"117",-92.4426101,34.739994
"118",-92.4426101,34.739994
"119",-92.3915641,34.662529
"120",-92.3655718,34.6439865
"121",-92.3637509,34.7126975
"122",-92.262678,34.7470497
"123",-92.3848525,34.629659
"124",-92.2895948,34.7464809
"125",-92.3716262,34.6365123
"126",-92.304131,34.688131
"127",-92.42156,34.670428
"128",-92.4176676,34.6269202
"129",-92.4001093,34.7461247
"130",-92.2703803,34.7481034
"131",-92.4870792,34.8149491
"132",-92.3635627,34.6354665
"133",-92.2660331,34.733559
"134",-92.3506374,34.778291
"135",-92.3884584,34.6557356
"136",-92.4372767,34.7353498
"137",-92.3978427,34.7483934
"138",-92.4054678,34.7960934
"139",-92.3353281,34.7289285
"140",-92.191372,34.711085
"141",-92.352151,34.6632615
"142",-92.2537444,34.7061486
"143",-92.2639324,34.7431783
"144",-92.4227158,34.6718538
"145",-92.2677669,34.7475173
"146",-92.4239599,34.67221
"147",-92.4239599,34.67221
"148",-92.395281,34.638212
"149",-92.3954514,34.6408398
"150",-92.3124789,34.7650791
"151",-92.3775728,34.6764113
"152",-92.3683863,34.6518367
"153",-92.3353281,34.7289285
"154",-92.4018539,34.7482874
"155",-92.383159,34.7996139
"156",-92.2895948,34.7464809
"157",-92.3457394,34.7489929
"158",-92.3733602,34.6485873
"159",-92.4156935,34.7446396
"160",-92.3799465,34.7318109
"161",-92.2622091,34.7363946
"162",-92.3438609,34.737361
"163",-92.3704298,34.6532225
"164",-92.3746713,34.6504192
"165",-92.4060054,34.7063095
"166",-92.4293435,34.6708337
"167",-92.2809081,34.7154317
"168",-92.4716775,34.8139816
"169",-92.3482454,34.7663292
"170",-92.4877971,34.8175116
"171",-92.4426101,34.739994
"172",-92.4242597,34.7572676
"173",-92.4557595,34.7971865
"174",-92.3351249,34.7321729
"175",-92.374787,34.6498122
"176",-92.4022157,34.6508982
"177",-92.289988,34.7438376
"178",-92.3972252,34.7485992
"179",-92.3972252,34.7485992
"180",-92.3247506,34.766138
"181",-92.3711238,34.6527772
"182",-92.4426101,34.739994
"183",-92.4001093,34.7461247
"184",-92.4018539,34.7482874
"185",-92.4001093,34.7461247
"186",-92.3162438,34.6647935
"187",-92.4001093,34.7461247
"188",-92.3992605,34.7111871
"189",-92.3978427,34.7483934
"190",-92.4184549,34.7555573
"191",-92.3526357,34.7628723
"192",-92.3704683,34.6346473
"193",-92.4294544,34.6591092
"194",-92.3972252,34.7485992
"195",-92.3339967,34.7212108
"196",-92.4457909,34.740019
"197",-92.4457909,34.740019
"198",-92.3348552,34.7380035
"199",-92.4128818,34.6299524
"200",-92.4001093,34.7461247
"201",-92.4001093,34.7461247
"202",-92.4001093,34.7461247
"203",-92.3345277,34.7345793
"204",-92.429611,34.6704145
"205",-92.4426101,34.739994
"206",-92.4454571,34.739559
"207",-92.4277812,34.7505398
"208",-92.4168872,34.6442993
"209",-92.3736109,34.7918029
"210",-92.4242296,34.7429307
"211",-92.424384,34.7429276
"212",-92.293027,34.723275
"213",-92.3305981,34.7789716
"214",-92.1887446,34.7188036
"215",-92.4170887,34.633196
"216",-92.4173781,34.748179
"217",-92.4001093,34.7461247
"218",-92.3978427,34.7483934
"219",-92.4272214,34.7506588
"220",-92.2895948,34.7464809
"221",-92.4426101,34.739994
"222",-92.4457909,34.740019
"223",-92.4426101,34.739994
"224",-92.4426101,34.739994
"225",-92.4351748,34.6652968
"226",-92.3777948,34.6519567
"227",-92.3347782,34.740033
"228",-92.387465,34.653822
"229",-92.3777563,34.6975996
"230",-92.3851032,34.6942404
"231",-92.4003156,34.7578378
"232",-92.4426101,34.739994
"233",-92.4128625,34.627771
"234",-92.4904422,34.7866317
"235",-92.4003114,34.7578023
"236",-92.2895948,34.7464809
"237",-92.4054678,34.7960934
"238",-92.4054678,34.7960934
"239",-92.4054678,34.7960934
"240",-92.4054678,34.7960934
"241",-92.4069878,34.7956441
"242",-92.4054678,34.7960934
"243",-92.4054678,34.7960934
"244",-92.4358119,34.7907513
"245",-92.4374336,34.7914952
"246",-92.4173489,34.7925259
"247",-92.2643579,34.7429918
"248",-92.407345,34.7957389
"249",-92.3161469,34.7598326
"250",-92.2854526,34.7436111
"251",-92.4294544,34.6591092
"252",-92.3912555,34.659987
"253",-92.4305594,34.6577666
"254",-92.4139431,34.6284842
"255",-92.2809081,34.7154317
"256",-92.427591,34.637924
"257",-92.4877971,34.8175116
"258",-92.4863446,34.8156885
"259",-92.2024759,34.7262181
"260",-92.4001093,34.7461247
"261",-92.4078911,34.7903654
"262",-92.3307939,34.6924991
"263",-92.4273885,34.6586883
"264",-92.3972252,34.7485992
"265",-92.3421246,34.7175265
"266",-92.4710399,34.8139298
"267",-92.3527867,34.7613563
"268",-92.2649003,34.7486605
"269",-92.370237,34.650246
"270",-92.3698299,34.6491798
"271",-92.4305594,34.6577666
"272",-92.4305594,34.6577666
"273",-92.3880539,34.654694
"274",-92.3657453,34.6440048
"275",-99.3267702,38.8791783
"276",-92.3658417,34.6527498
"277",-92.368869,34.648648
"278",-92.4454571,34.739559
"279",-92.3660537,34.6439988
"280",-92.3651092,34.6529799
"281",-92.368869,34.648648
"282",-92.369514,34.6544172
"283",-92.422777,34.672539
"284",-92.3697829,34.6552169
"285",-92.4426101,34.739994
"286",-92.3343471,34.7384135
"287",-92.4294544,34.6591092
"288",-92.4454571,34.739559
"289",-92.3709889,34.6344861
"290",-92.3339967,34.7212108
"291",-92.3350286,34.741862
"292",-92.3978137,34.6592109
"293",NA,NA
"294",-92.3298403,34.7029829
"295",-92.3348167,34.727475
"296",-92.3614082,34.6710605
"297",-92.3566283,34.7088001
"298",-92.3350286,34.741862
"299",-92.3651188,34.6372888
"300",-92.3307939,34.6924991
"301",-92.4305594,34.6577666
"302",-92.4230908,34.6716253
