LATITUDE,LONGITUDE,DATE,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp
34.7273,-92.2389,1/3/15 14:53,,,,,
34.7273,-92.2389,1/3/15 15:41,,,,,
34.7273,-92.2389,1/3/15 15:53,,,,,
34.7273,-92.2389,1/3/15 16:28,,,,,
34.7273,-92.2389,1/3/15 16:38,,,,,
34.7273,-92.2389,1/3/15 16:41,,,,,
34.7273,-92.2389,1/3/15 16:53,,,,,
34.7273,-92.2389,1/3/15 17:13,,,,,
34.7273,-92.2389,1/3/15 17:16,,,,,
34.7273,-92.2389,1/3/15 17:31,,,,,
34.7273,-92.2389,1/3/15 17:53,,,,,
34.7273,-92.2389,1/3/15 18:41,,,,,
34.7273,-92.2389,1/3/15 18:53,,,,,
34.7273,-92.2389,1/3/15 19:14,,,,,
34.7273,-92.2389,1/3/15 19:43,,,,,
34.7273,-92.2389,1/3/15 19:53,,,,,
34.7273,-92.2389,1/3/15 20:53,,,,,
34.7273,-92.2389,1/3/15 21:28,,,,,
34.7273,-92.2389,1/3/15 21:53,,,,,
34.7273,-92.2389,1/3/15 22:14,,,,,
34.7273,-92.2389,1/3/15 22:53,,,,,
34.7273,-92.2389,1/3/15 23:53,54,44,,,
34.7273,-92.2389,1/3/15 23:59,54,44,,,
34.7273,-92.2389,1/4/15 0:53,,,,,
34.7273,-92.2389,1/4/15 1:53,,,,,
34.7273,-92.2389,1/4/15 2:53,,,,,
34.7273,-92.2389,1/4/15 3:53,,,,,
34.7273,-92.2389,1/4/15 4:53,,,,,
34.7273,-92.2389,1/4/15 5:53,,,,,
34.7273,-92.2389,1/4/15 6:53,,,,,
34.7273,-92.2389,1/4/15 7:53,,,,,
34.7273,-92.2389,1/4/15 8:53,,,,,
34.7273,-92.2389,1/4/15 9:53,,,,,
34.7273,-92.2389,1/4/15 10:19,,,,,
34.7273,-92.2389,1/4/15 10:53,,,,,
34.7273,-92.2389,1/4/15 11:53,,,,,
34.7273,-92.2389,1/4/15 12:51,,,,,
34.7273,-92.2389,1/4/15 12:53,,,,,
34.7273,-92.2389,1/4/15 13:53,,,,,
34.7273,-92.2389,1/4/15 14:53,,,,,
34.7273,-92.2389,1/4/15 15:53,,,,,
34.7273,-92.2389,1/4/15 16:53,,,,,
34.7273,-92.2389,1/4/15 17:53,,,,,
34.7273,-92.2389,1/4/15 18:53,,,,,
34.7273,-92.2389,1/4/15 19:53,,,,,
34.7273,-92.2389,1/4/15 20:53,,,,,
34.7273,-92.2389,1/4/15 21:53,,,,,
