"","date","dailyMax","dailyMin"
"14429","2016-4-22",80,53
"14453","2016-4-23",81,53
"14454","2016-4-23",81,53
"14478","2016-4-24",82,55
"14479","2016-4-24",82,55
"14505","2016-4-25",82,59
"14506","2016-4-25",82,59
"14533","2016-4-26",83,68
"14534","2016-4-26",83,68
"14566","2016-4-27",83,64
"14567","2016-4-27",83,64
"14591","2016-4-28",84,57
"14592","2016-4-28",84,57
"14650","2016-4-29",70,62
"14653","2016-4-29",70,62
"14685","2016-4-30",81,64
"14686","2016-4-30",81,64
"14715","2016-5-1",82,64
"14716","2016-5-1",82,64
"14747","2016-5-2",71,56
"14748","2016-5-2",71,56
"14772","2016-5-3",72,55
"14773","2016-5-3",72,55
"14797","2016-5-4",83,50
"14798","2016-5-4",83,50
"14822","2016-5-5",79,54
"14823","2016-5-5",79,54
"14847","2016-5-6",79,50
"14848","2016-5-6",79,50
"14872","2016-5-7",86,53
"14873","2016-5-7",86,53
"14897","2016-5-8",81,59
"14898","2016-5-8",81,59
"14930","2016-5-9",74,63
"14931","2016-5-9",74,63
"14961","2016-5-10",87,66
"14962","2016-5-10",87,66
"14990","2016-5-11",86,70
"14991","2016-5-11",86,70
"15024","2016-5-12",82,64
"15025","2016-5-12",82,64
"15049","2016-5-13",82,54
"15050","2016-5-13",82,54
"15075","2016-5-14",72,58
"15076","2016-5-14",72,58
"15100","2016-5-15",72,58
"15101","2016-5-15",72,58
"15134","2016-5-16",65,59
"15135","2016-5-16",65,59
"15167","2016-5-17",83,59
"15168","2016-5-17",83,59
"15195","2016-5-18",68,56
"15196","2016-5-18",68,56
"15220","2016-5-19",76,53
"15221","2016-5-19",76,53
"15253","2016-5-20",77,57
"15254","2016-5-20",77,57
"15278","2016-5-21",82,60
"15279","2016-5-21",82,60
"15303","2016-5-22",83,59
"15304","2016-5-22",83,59
"15328","2016-5-23",83,57
"15329","2016-5-23",83,57
"15357","2016-5-24",88,64
"15358","2016-5-24",88,64
"15390","2016-5-25",85,66
"15391","2016-5-25",85,66
"15424","2016-5-26",87,71
"15425","2016-5-26",87,71
"15459","2016-5-27",82,69
"15460","2016-5-27",82,68
"15486","2016-5-28",85,65
"15487","2016-5-28",85,65
"15515","2016-5-29",92,65
"15516","2016-5-29",92,65
"15546","2016-5-30",87,64
"15547","2016-5-30",87,64
"15575","2016-5-31",85,66
"15576","2016-5-31",85,66
"15607","2016-6-1",81,70
"15608","2016-6-1",81,70
"15644","2016-6-2",83,70
"15645","2016-6-2",83,70
"15680","2016-6-3",85,72
"15681","2016-6-3",85,72
"15713","2016-6-4",84,71
"15714","2016-6-4",84,71
"15738","2016-6-5",88,68
"15739","2016-6-5",88,68
"15763","2016-6-6",89,65
"15764","2016-6-6",89,65
"15788","2016-6-7",93,66
"15789","2016-6-7",93,66
"15813","2016-6-8",89,70
"15814","2016-6-8",89,70
"15838","2016-6-9",91,67
"15839","2016-6-9",91,67
"15863","2016-6-10",93,70
"15864","2016-6-10",93,70
"15888","2016-6-11",95,73
"15889","2016-6-11",95,73
"15920","2016-6-12",92,75
"15921","2016-6-12",92,75
"15956","2016-6-13",88,73
"15957","2016-6-13",88,73
"15997","2016-6-14",88,75
"15998","2016-6-14",88,75
"16030","2016-6-15",95,78
"16031","2016-6-15",95,78
"16055","2016-6-16",97,76
"16056","2016-6-16",97,76
"16080","2016-6-17",98,79
"16081","2016-6-17",98,79
"16105","2016-6-18",92,75
"16106","2016-6-18",92,75
"16135","2016-6-19",91,76
"16136","2016-6-19",91,76
"16160","2016-6-20",93,74
"16161","2016-6-20",93,74
"16185","2016-6-21",96,77
"16186","2016-6-21",96,77
"16210","2016-6-22",96,78
"16211","2016-6-22",96,78
"16237","2016-6-23",95,79
"16238","2016-6-23",95,79
"16262","2016-6-24",97,79
"16263","2016-6-24",97,79
"16287","2016-6-25",96,75
"16288","2016-6-25",96,75
"16314","2016-6-26",98,79
"16315","2016-6-26",98,79
"16351","2016-6-27",96,74
"16352","2016-6-27",96,74
"16381","2016-6-28",93,73
"16382","2016-6-28",93,73
"16406","2016-6-29",93,74
"16407","2016-6-29",93,74
"16431","2016-6-30",93,71
"16432","2016-6-30",93,71
"16463","2016-7-1",95,75
"16464","2016-7-1",95,75
"16488","2016-7-2",95,76
"16489","2016-7-2",95,76
"16513","2016-7-3",95,77
"16514","2016-7-3",95,77
"16541","2016-7-4",92,76
"16542","2016-7-4",92,76
"16568","2016-7-5",94,78
"16569","2016-7-5",94,78
"16597","2016-7-6",96,79
"16598","2016-7-6",96,79
"16625","2016-7-7",95,78
"16626","2016-7-7",95,78
"16650","2016-7-8",98,79
"16651","2016-7-8",98,79
"16679","2016-7-9",91,73
"16680","2016-7-9",91,73
"16711","2016-7-10",94,70
"16712","2016-7-10",94,70
"16742","2016-7-11",92,70
"16743","2016-7-11",92,70
"16767","2016-7-12",94,76
"16768","2016-7-12",94,76
"16792","2016-7-13",95,78
"16793","2016-7-13",95,78
"16828","2016-7-14",96,71
"16829","2016-7-14",96,71
"16868","2016-7-15",91,71
"16869","2016-7-15",91,71
"16893","2016-7-16",93,73
"16894","2016-7-16",93,73
"16918","2016-7-17",97,77
"16919","2016-7-17",97,77
"16943","2016-7-18",98,79
"16944","2016-7-18",98,79
"16970","2016-7-19",98,80
"16971","2016-7-19",98,80
"17000","2016-7-20",98,81
"17001","2016-7-20",98,81
"17030","2016-7-21",99,81
"17031","2016-7-21",99,81
"17060","2016-7-22",105,82
"17061","2016-7-22",105,82
"17092","2016-7-23",100,77
"17093","2016-7-23",100,77
"17119","2016-7-24",95,77
"17120","2016-7-24",95,77
"17144","2016-7-25",97,76
"17145","2016-7-25",97,76
"17169","2016-7-26",97,80
"17170","2016-7-26",97,80
"17199","2016-7-27",92,77
"17200","2016-7-27",92,77
"17230","2016-7-28",92,77
"17231","2016-7-28",92,77
"17268","2016-7-29",93,75
"17269","2016-7-29",93,75
"17302","2016-7-30",94,74
"17303","2016-7-30",94,74
"17327","2016-7-31",93,73
"17328","2016-7-31",93,73
"17352","2016-8-1",97,77
"17353","2016-8-1",97,77
"17377","2016-8-2",99,77
"17378","2016-8-2",99,77
"17405","2016-8-3",100,79
"17406","2016-8-3",100,79
"17434","2016-8-4",100,80
"17435","2016-8-4",100,80
"17462","2016-8-5",101,79
"17463","2016-8-5",101,79
"17498","2016-8-6",84,76
"17499","2016-8-6",84,76
"17533","2016-8-7",94,74
"17534","2016-8-7",94,74
"17559","2016-8-8",87,74
"17560","2016-8-8",87,74
"17591","2016-8-9",96,76
"17592","2016-8-9",96,76
"17616","2016-8-10",95,77
"17617","2016-8-10",95,77
"17641","2016-8-11",95,80
"17642","2016-8-11",95,80
"17667","2016-8-12",96,79
"17668","2016-8-12",96,79
"17719","2016-8-13",83,75
"17720","2016-8-13",83,75
"17768","2016-8-14",80,74
"17769","2016-8-14",80,74
"17815","2016-8-15",84,75
"17816","2016-8-15",84,75
"17871","2016-8-16",80,73
"17872","2016-8-16",80,73
"17912","2016-8-17",85,75
"17913","2016-8-17",85,75
"17950","2016-8-18",83,76
"17951","2016-8-18",83,76
"17983","2016-8-19",89,77
"17984","2016-8-19",89,77
"18022","2016-8-20",80,76
"18023","2016-8-20",80,76
"18047","2016-8-21",86,72
"18048","2016-8-21",86,71
"18072","2016-8-22",87,68
"18073","2016-8-22",87,68
"18102","2016-8-23",93,75
"18103","2016-8-23",93,75
"18127","2016-8-24",96,77
"18128","2016-8-24",96,77
"18156","2016-8-25",96,77
"18157","2016-8-25",96,77
"18181","2016-8-26",94,76
"18182","2016-8-26",94,76
"18218","2016-8-27",93,75
"18219","2016-8-27",93,75
"18243","2016-8-28",95,76
"18244","2016-8-28",95,76
"18269","2016-8-29",95,77
"18270","2016-8-29",95,77
"18294","2016-8-30",96,78
"18295","2016-8-30",96,78
"18320","2016-8-31",96,78
"18321","2016-8-31",96,78
"18345","2016-9-1",91,74
"18346","2016-9-1",91,74
"18370","2016-9-2",86,68
"18371","2016-9-2",86,68
"18395","2016-9-3",87,65
"18396","2016-9-3",87,65
"18420","2016-9-4",92,66
"18421","2016-9-4",92,66
"18445","2016-9-5",95,74
"18446","2016-9-5",95,74
"18477","2016-9-6",95,76
"18478","2016-9-6",95,76
"18502","2016-9-7",95,76
"18503","2016-9-7",95,76
"18528","2016-9-8",96,77
"18529","2016-9-8",96,77
"18558","2016-9-9",94,77
"18559","2016-9-9",94,77
"18585","2016-9-10",89,67
"18586","2016-9-10",89,67
"18610","2016-9-11",87,63
"18611","2016-9-11",87,63
"18636","2016-9-12",91,64
"18637","2016-9-12",91,64
"18662","2016-9-13",94,72
"18663","2016-9-13",94,72
"18687","2016-9-14",96,26
"18688","2016-9-14",96,75
"18712","2016-9-15",95,74
"18713","2016-9-15",95,74
"18739","2016-9-16",96,73
"18740","2016-9-16",96,73
"18775","2016-9-17",90,73
"18776","2016-9-17",90,73
"18806","2016-9-18",83,70
"18807","2016-9-18",83,70
"18833","2016-9-19",91,67
"18834","2016-9-19",91,67
"18858","2016-9-20",92,70
"18859","2016-9-20",92,70
"18883","2016-9-21",93,69
"18884","2016-9-21",93,69
"18908","2016-9-22",94,69
"18909","2016-9-22",94,69
"18933","2016-9-23",93,70
"18934","2016-9-23",93,70
"18958","2016-9-24",94,73
"18959","2016-9-24",94,73
"18983","2016-9-25",94,73
"18984","2016-9-25",94,73
"19012","2016-9-26",80,62
"19013","2016-9-26",80,62
"19037","2016-9-27",82,58
"19038","2016-9-27",82,58
"19062","2016-9-28",93,57
"19063","2016-9-28",93,57
"19087","2016-9-29",80,55
"19088","2016-9-29",80,55
"19112","2016-9-30",79,60
"19113","2016-9-30",79,60
"19137","2016-10-1",78,55
"19138","2016-10-1",78,55
"19167","2016-10-2",83,54
"19168","2016-10-2",83,54
"19192","2016-10-3",82,57
"19193","2016-10-3",82,57
"19217","2016-10-4",85,57
"19218","2016-10-4",85,57
"19242","2016-10-5",90,63
"19243","2016-10-5",90,63
"19267","2016-10-6",88,62
"19268","2016-10-6",88,62
"19292","2016-10-7",88,58
"19293","2016-10-7",88,58
"19317","2016-10-8",75,50
"19318","2016-10-8",75,50
"19342","2016-10-9",78,47
"19343","2016-10-9",78,47
"19367","2016-10-10",75,52
"19368","2016-10-10",75,52
"19392","2016-10-11",83,52
"19393","2016-10-11",83,52
"19417","2016-10-12",82,62
"19418","2016-10-12",82,62
"19460","2016-10-13",70,57
"19461","2016-10-13",70,57
"19501","2016-10-14",75,56
"19502","2016-10-14",63,56
"19537","2016-10-15",81,61
"19538","2016-10-15",81,61
"19562","2016-10-16",84,63
"19563","2016-10-16",84,63
"19587","2016-10-17",86,65
"19588","2016-10-17",86,65
"19618","2016-10-18",83,68
"19619","2016-10-18",83,68
"19643","2016-10-19",86,66
"19644","2016-10-19",86,66
"19675","2016-10-20",71,52
"19676","2016-10-20",71,52
"19700","2016-10-21",68,48
"19701","2016-10-21",68,48
"19725","2016-10-22",72,43
"19726","2016-10-22",72,43
"19750","2016-10-23",75,44
"19751","2016-10-23",75,44
"19775","2016-10-24",80,53
"19776","2016-10-24",80,53
"19800","2016-10-25",77,53
"19801","2016-10-25",77,53
"19826","2016-10-26",77,52
"19827","2016-10-26",77,52
"19851","2016-10-27",82,56
"19852","2016-10-27",82,56
"19883","2016-10-28",82,56
"19884","2016-10-28",82,56
"19908","2016-10-29",82,55
"19909","2016-10-29",82,55
"19933","2016-10-30",84,54
"19934","2016-10-30",84,54
"19958","2016-10-31",85,59
"19959","2016-10-31",85,59
"19983","2016-11-1",83,54
"19984","2016-11-1",83,54
"20008","2016-11-2",80,62
"20009","2016-11-2",80,62
"20033","2016-11-3",82,60
"20034","2016-11-3",82,60
"20060","2016-11-4",75,52
"20061","2016-11-4",75,51
"20085","2016-11-5",67,48
"20086","2016-11-5",67,48
"20110","2016-11-6",74,44
"20111","2016-11-6",74,44
"20135","2016-11-7",67,56
"20136","2016-11-7",67,55
"20172","2016-11-8",66,54
"20173","2016-11-8",66,54
"20199","2016-11-9",68,45
"20200","2016-11-9",68,44
"20224","2016-11-10",69,40
"20225","2016-11-10",69,40
"20249","2016-11-11",75,45
"20250","2016-11-11",75,45
"20274","2016-11-12",64,39
"20275","2016-11-12",64,39
"20299","2016-11-13",64,32
"20300","2016-11-13",64,32
"20324","2016-11-14",70,36
"20325","2016-11-14",70,36
"20349","2016-11-15",76,46
"20350","2016-11-15",76,46
"20374","2016-11-16",81,44
"20375","2016-11-16",81,44
"20399","2016-11-17",79,48
"20400","2016-11-17",79,48
"20433","2016-11-18",71,44
"20434","2016-11-18",71,44
"20458","2016-11-19",56,34
"20459","2016-11-19",56,34
"20485","2016-11-20",57,29
"20486","2016-11-20",57,29
"20510","2016-11-21",63,32
"20511","2016-11-21",63,32
"20540","2016-11-22",64,39
"20541","2016-11-22",64,39
"20573","2016-11-23",62,52
"20574","2016-11-23",62,52
"20600","2016-11-24",53,40
"20601","2016-11-24",53,40
"20655","2016-11-25",55,38
"20656","2016-11-25",55,38
"20713","2016-11-26",52,34
"20714","2016-11-26",52,34
"20756","2016-11-27",52,29
"20757","2016-11-27",52,32
"20805","2016-11-28",55,47
"20806","2016-11-28",55,47
"20837","2016-11-29",65,48
"20838","2016-11-29",65,48
"20862","2016-11-30",55,36
"20863","2016-11-30",55,36
"20888","2016-12-1",61,30
"20889","2016-12-1",61,30
"20913","2016-12-2",63,32
"20914","2016-12-2",63,32
"20942","2016-12-3",48,42
"20943","2016-12-3",48,42
"20979","2016-12-4",47,40
"20980","2016-12-4",47,40
"21015","2016-12-5",45,37
"21016","2016-12-5",45,37
"21048","2016-12-6",56,42
"21049","2016-12-6",56,42
"21075","2016-12-7",43,38
"21076","2016-12-7",43,38
"21100","2016-12-8",40,27
"21101","2016-12-8",40,27
"21125","2016-12-9",38,20
"21126","2016-12-9",38,20
"21150","2016-12-10",44,23
"21151","2016-12-10",44,23
"21184","2016-12-11",59,41
"21185","2016-12-11",59,41
"21214","2016-12-12",55,41
"21215","2016-12-12",55,41
"21250","2016-12-13",57,39
"21251","2016-12-13",57,39
"21282","2016-12-14",46,35
"21283","2016-12-14",46,35
"21307","2016-12-15",38,26
"21308","2016-12-15",38,26
"21340","2016-12-16",59,25
"21341","2016-12-16",59,25
"21378","2016-12-17",77,31
"21379","2016-12-17",77,31
"21408","2016-12-18",31,20
"21409","2016-12-18",31,20
"21433","2016-12-19",35,12
"21434","2016-12-19",35,12
"21458","2016-12-20",47,16
"21459","2016-12-20",47,16
"21483","2016-12-21",63,34
"21484","2016-12-21",63,34
"21508","2016-12-22",54,33
"21509","2016-12-22",54,33
"21551","2016-12-23",49,34
"21552","2016-12-23",49,34
"21598","2016-12-24",54,49
"21599","2016-12-24",54,49
"21634","2016-12-25",67,51
"21635","2016-12-25",67,51
"21663","2016-12-26",75,59
"21664","2016-12-26",75,59
"21689","2016-12-27",60,37
"21690","2016-12-27",60,37
"21732","2016-12-28",53,36
"21733","2016-12-28",53,36
"21757","2016-12-29",57,39
"21758","2016-12-29",57,39
"21782","2016-12-30",57,29
"21783","2016-12-30",57,29
"21826","2016-12-31",47,41
"21827","2016-12-31",47,41
"21868","2017-1-1",46,43
"21869","2017-1-1",46,43
"21915","2017-1-2",56,45
"21916","2017-1-2",56,45
"21960","2017-1-3",57,40
"21961","2017-1-3",57,40
"21986","2017-1-4",41,26
"21987","2017-1-4",41,26
"22017","2017-1-5",37,29
"22018","2017-1-5",37,29
"22057","2017-1-6",28,18
"22058","2017-1-6",29,18
"22082","2017-1-7",31,12
"22083","2017-1-7",31,12
"22107","2017-1-8",33,13
"22108","2017-1-8",33,13
"22133","2017-1-9",50,20
"22134","2017-1-9",50,20
"22159","2017-1-10",71,50
"22160","2017-1-10",71,50
"22192","2017-1-11",73,55
"22193","2017-1-11",73,55
"22221","2017-1-12",75,54
"22222","2017-1-12",75,54
"22257","2017-1-13",54,39
"22258","2017-1-13",54,39
"22291","2017-1-14",46,39
"22292","2017-1-14",46,39
"22330","2017-1-15",46,41
"22331","2017-1-15",46,41
"22380","2017-1-16",67,44
"22381","2017-1-16",67,44
"22407","2017-1-17",57,46
"22408","2017-1-17",57,46
"22453","2017-1-18",49,43
"22454","2017-1-18",49,43
"22497","2017-1-19",54,46
"22498","2017-1-19",54,46
"22526","2017-1-20",69,48
"22527","2017-1-20",69,48
"22555","2017-1-21",69,45
"22556","2017-1-21",69,45
"22589","2017-1-22",56,48
"22590","2017-1-22",56,48
"22618","2017-1-23",57,39
"22619","2017-1-23",57,39
"22649","2017-1-24",66,34
"22650","2017-1-24",66,34
"22676","2017-1-25",62,43
"22677","2017-1-25",62,43
"22702","2017-1-26",48,34
"22726","2017-1-27",52,27
"22727","2017-1-27",52,27
"22751","2017-1-28",56,30
"22752","2017-1-28",56,30
"22776","2017-1-29",57,36
"22777","2017-1-29",57,36
"22801","2017-1-30",68,31
"22802","2017-1-30",68,31
"22826","2017-1-31",75,38
"22827","2017-1-31",75,38
"22857","2017-2-1",67,45
"22858","2017-2-1",67,45
"22883","2017-2-2",52,37
"22884","2017-2-2",52,37
"22908","2017-2-3",48,31
"22909","2017-2-3",48,31
"22934","2017-2-4",42,24
"22935","2017-2-4",42,24
"22968","2017-2-5",57,39
"22969","2017-2-5",57,39
"23010","2017-2-6",73,50
"23011","2017-2-6",73,50
"23044","2017-2-7",80,54
"23045","2017-2-7",80,54
"23069","2017-2-8",74,35
"23070","2017-2-8",74,35
"23094","2017-2-9",46,29
"23095","2017-2-9",46,29
"23119","2017-2-10",71,32
"23120","2017-2-10",71,32
"23149","2017-2-11",79,63
"23150","2017-2-11",79,63
"23177","2017-2-12",72,50
"23178","2017-2-12",72,50
"23202","2017-2-13",56,39
"23203","2017-2-13",56,39
"23245","2017-2-14",50,39
"23246","2017-2-14",50,39
"23271","2017-2-15",57,38
"23272","2017-2-15",57,38
"23296","2017-2-16",64,31
"23297","2017-2-16",64,31
"23321","2017-2-17",69,35
"23322","2017-2-17",69,35
"23356","2017-2-18",65,48
"23357","2017-2-18",65,48
"23405","2017-2-19",76,45
"23406","2017-2-19",76,45
"23435","2017-2-20",79,50
"23436","2017-2-20",79,50
"23478","2017-2-21",62,57
"23479","2017-2-21",62,57
"23523","2017-2-22",62,51
"23524","2017-2-22",62,51
"23559","2017-2-23",79,47
"23560","2017-2-23",79,47
"23589","2017-2-24",70,47
"23590","2017-2-24",70,47
"23614","2017-2-25",52,32
"23615","2017-2-25",52,32
"23641","2017-2-26",59,31
"23642","2017-2-26",59,31
"23677","2017-2-27",59,43
"23678","2017-2-27",59,43
"23714","2017-2-28",81,57
"23715","2017-2-28",81,57
"23751","2017-3-1",70,45
"23752","2017-3-1",70,45
"23777","2017-3-2",62,35
"23778","2017-3-2",62,35
"23802","2017-3-3",59,36
"23803","2017-3-3",59,36
"23827","2017-3-4",70,35
"23828","2017-3-4",70,35
"23859","2017-3-5",59,47
"23860","2017-3-5",59,47
"23904","2017-3-6",72,53
"23905","2017-3-6",72,53
"23943","2017-3-7",68,41
"23944","2017-3-7",68,41
"23968","2017-3-8",69,36
"23969","2017-3-8",69,36
"23997","2017-3-9",73,44
"23998","2017-3-9",73,44
"24028","2017-3-10",65,44
"24029","2017-3-10",65,44
"24060","2017-3-11",46,34
"24061","2017-3-11",46,34
"24089","2017-3-12",50,31
"24090","2017-3-12",50,31
"24122","2017-3-13",56,32
"24123","2017-3-13",56,32
"24157","2017-3-14",45,35
"24158","2017-3-14",45,35
"24182","2017-3-15",44,28
"24183","2017-3-15",44,28
"24210","2017-3-16",51,39
"24211","2017-3-16",51,39
"24237","2017-3-17",76,49
"24265","2017-3-18",79,54
"24266","2017-3-18",79,53
"24290","2017-3-19",75,49
"24291","2017-3-19",75,49
"24318","2017-3-20",85,52
"24319","2017-3-20",85,52
"24346","2017-3-21",86,54
"24347","2017-3-21",86,54
"24373","2017-3-22",64,48
"24374","2017-3-22",64,48
"24398","2017-3-23",83,45
"24399","2017-3-23",83,45
"24433","2017-3-24",77,58
"24434","2017-3-24",77,58
"24460","2017-3-25",72,50
"24461","2017-3-25",72,50
"24485","2017-3-26",77,45
"24486","2017-3-26",77,45
"24521","2017-3-27",81,56
"24522","2017-3-27",81,56
"24551","2017-3-28",76,53
"24552","2017-3-28",76,53
"24577","2017-3-29",81,57
"24578","2017-3-29",81,57
"24606","2017-3-30",66,53
"24607","2017-3-30",66,53
"24631","2017-3-31",75,46
"24632","2017-3-31",75,46
"24656","2017-4-1",71,50
"24657","2017-4-1",71,50
"24692","2017-4-2",70,54
"24693","2017-4-2",70,54
"24723","2017-4-3",75,55
"24724","2017-4-3",75,55
"24748","2017-4-4",82,51
"24749","2017-4-4",82,51
"24773","2017-4-5",70,46
"24774","2017-4-5",70,46
"24798","2017-4-6",68,44
"24799","2017-4-6",68,44
"24823","2017-4-7",70,42
"24824","2017-4-7",70,42
"24848","2017-4-8",79,44
"24849","2017-4-8",79,44
"24876","2017-4-9",81,58
"24877","2017-4-9",81,58
"24912","2017-4-10",76,62
"24913","2017-4-10",76,62
"24944","2017-4-11",66,53
"24945","2017-4-11",66,53
"24969","2017-4-12",77,51
"24970","2017-4-12",77,51
"24994","2017-4-13",83,57
"24995","2017-4-13",83,57
"25019","2017-4-14",83,61
"25020","2017-4-14",83,61
"25045","2017-4-15",81,60
"25046","2017-4-15",81,60
"25073","2017-4-16",79,63
"25074","2017-4-16",79,63
"25109","2017-4-17",75,62
"25110","2017-4-17",75,62
"25140","2017-4-18",79,63
"25141","2017-4-18",79,63
"25165","2017-4-19",83,60
"25166","2017-4-19",83,60
"25190","2017-4-20",83,63
"25191","2017-4-20",83,63
"25236","2017-4-21",72,57
"25237","2017-4-21",72,57
"25277","2017-4-22",60,50
"25278","2017-4-22",60,50
"25303","2017-4-23",72,49
"25304","2017-4-23",72,49
"25328","2017-4-24",76,45
"25329","2017-4-24",76,45
"25353","2017-4-25",81,49
"25354","2017-4-25",81,49
"25407","2017-4-26",73,51
"25408","2017-4-26",73,51
"25433","2017-4-27",68,44
"25434","2017-4-27",68,44
"25462","2017-4-28",83,54
"25463","2017-4-28",83,54
"25509","2017-4-29",85,64
"25511","2017-4-29",85,64
"25562","2017-4-30",71,52
"25563","2017-4-30",71,53
"25587","2017-5-1",75,47
"25588","2017-5-1",75,47
"25612","2017-5-2",80,46
"25613","2017-5-2",80,46
"25664","2017-5-3",70,56
"25666","2017-5-3",70,56
"25693","2017-5-4",56,48
"25694","2017-5-4",56,48
"25718","2017-5-5",74,51
"25719","2017-5-5",74,51
"25743","2017-5-6",80,48
"25744","2017-5-6",80,48
"25768","2017-5-7",78,54
"25769","2017-5-7",78,54
"25793","2017-5-8",84,56
"25794","2017-5-8",84,56
"25818","2017-5-9",84,58
"25819","2017-5-9",84,58
"25846","2017-5-10",83,62
"25847","2017-5-10",83,62
"25882","2017-5-11",81,64
"25883","2017-5-11",81,64
"25935","2017-5-12",72,61
"25936","2017-5-12",72,61
"25960","2017-5-13",77,55
"25961","2017-5-13",77,55
"25985","2017-5-14",80,53
"25986","2017-5-14",80,53
"26010","2017-5-15",84,58
"26011","2017-5-15",84,58
"26035","2017-5-16",86,63
"26036","2017-5-16",86,63
"26063","2017-5-17",82,66
"26064","2017-5-17",82,66
"26092","2017-5-18",87,69
"26093","2017-5-18",87,69
"26127","2017-5-19",87,65
"26128","2017-5-19",87,65
"26167","2017-5-20",78,63
"26168","2017-5-20",78,63
"26193","2017-5-21",79,59
"26194","2017-5-21",79,59
"26218","2017-5-22",72,58
"26219","2017-5-22",72,58
"26243","2017-5-23",79,60
"26244","2017-5-23",79,60
"26268","2017-5-24",72,53
"26269","2017-5-24",72,53
"26293","2017-5-25",80,50
"26294","2017-5-25",80,50
"26325","2017-5-26",82,65
"26326","2017-5-26",82,65
"26358","2017-5-27",89,74
"26359","2017-5-27",89,74
"26401","2017-5-28",82,64
"26402","2017-5-28",82,64
"26426","2017-5-29",85,63
"26427","2017-5-29",85,63
"26461","2017-5-30",87,62
"26462","2017-5-30",87,62
"26486","2017-5-31",87,61
"26487","2017-5-31",87,61
"26514","2017-6-1",83,65
"26515","2017-6-1",83,65
"26553","2017-6-2",82,65
"26554","2017-6-2",82,65
"26601","2017-6-3",86,68
"26602","2017-6-3",86,68
"26659","2017-6-4",80,70
"26660","2017-6-4",80,70
"26706","2017-6-5",78,69
"26707","2017-6-5",78,69
"26732","2017-6-6",89,67
"26733","2017-6-6",89,67
"26757","2017-6-7",83,62
"26758","2017-6-7",83,62
"26782","2017-6-8",83,59
"26783","2017-6-8",83,59
"26808","2017-6-9",84,57
"26809","2017-6-9",84,57
"26833","2017-6-10",86,60
"26834","2017-6-10",86,60
"26858","2017-6-11",89,66
"26859","2017-6-11",89,66
"26894","2017-6-12",88,71
"26895","2017-6-12",88,71
"26926","2017-6-13",87,69
"26927","2017-6-13",87,69
"26956","2017-6-14",91,72
"26957","2017-6-14",91,72
"26987","2017-6-15",87,69
"26988","2017-6-15",87,69
"27012","2017-6-16",92,72
"27013","2017-6-16",92,72
"27039","2017-6-17",88,68
"27040","2017-6-17",88,68
"27079","2017-6-18",83,71
"27080","2017-6-18",83,71
"27112","2017-6-19",88,63
"27113","2017-6-19",88,63
"27137","2017-6-20",90,66
"27138","2017-6-20",90,66
"27169","2017-6-21",87,67
"27170","2017-6-21",87,67
"27218","2017-6-22",86,74
"27219","2017-6-22",86,74
"27261","2017-6-23",90,70
"27262","2017-6-23",90,70
"27286","2017-6-24",83,68
"27287","2017-6-24",83,68
"27311","2017-6-25",85,65
"27312","2017-6-25",85,65
"27336","2017-6-26",84,66
"27337","2017-6-26",84,66
"27361","2017-6-27",85,63
"27362","2017-6-27",85,63
"27386","2017-6-28",88,67
"27387","2017-6-28",88,67
"27419","2017-6-29",88,71
"27459","2017-6-30",88,69
"27460","2017-6-30",88,69
"27492","2017-7-1",91,68
"27493","2017-7-1",91,68
"27522","2017-7-2",89,68
"27523","2017-7-2",89,68
"27568","2017-7-3",87,70
"27569","2017-7-3",87,70
"27609","2017-7-4",88,73
"27610","2017-7-4",88,73
"27650","2017-7-5",84,71
"27651","2017-7-5",84,71
"27694","2017-7-6",91,72
"27695","2017-7-6",91,72
"27719","2017-7-7",94,72
"27720","2017-7-7",94,72
"27752","2017-7-8",90,69
"27753","2017-7-8",90,69
"27777","2017-7-9",89,71
"27778","2017-7-9",89,71
"27802","2017-7-10",91,69
"27803","2017-7-10",91,69
"27827","2017-7-11",92,72
"27828","2017-7-11",92,72
"27852","2017-7-12",92,74
"27853","2017-7-12",92,74
"27883","2017-7-13",93,73
"27884","2017-7-13",93,73
"27917","2017-7-14",92,73
"27918","2017-7-14",92,73
"27942","2017-7-15",91,72
"27943","2017-7-15",91,72
"27969","2017-7-16",91,74
"27970","2017-7-16",91,74
"27994","2017-7-17",92,72
"27995","2017-7-17",92,72
"28019","2017-7-18",94,71
"28020","2017-7-18",94,71
"28044","2017-7-19",95,75
"28045","2017-7-19",95,75
"28069","2017-7-20",96,77
"28070","2017-7-20",96,77
"28094","2017-7-21",96,77
"28095","2017-7-21",96,77
"28119","2017-7-22",96,76
"28120","2017-7-22",96,76
"28160","2017-7-23",96,71
"28161","2017-7-23",96,71
"28185","2017-7-24",92,71
"28186","2017-7-24",92,71
"28210","2017-7-25",94,76
"28211","2017-7-25",94,76
"28235","2017-7-26",95,76
"28236","2017-7-26",95,76
"28260","2017-7-27",95,76
"28261","2017-7-27",95,76
"28294","2017-7-28",86,75
"28295","2017-7-28",86,75
"28319","2017-7-29",88,69
"28320","2017-7-29",88,69
"28344","2017-7-30",86,66
"28345","2017-7-30",86,66
"28369","2017-7-31",88,66
"28370","2017-7-31",88,66
"28399","2017-8-1",86,71
"28400","2017-8-1",86,70
"28426","2017-8-2",83,69
"28427","2017-8-2",83,69
