Incident Number,District,Offense Description,Incident Address,Incident Date
2015-108491,42,Arson,"6400 FOURCHE DAM
Little Rock, Arkansas",9/21/15
2015-115213,91,Arson,"9701 I30 DR
Little Rock, Arkansas",10/7/15
2015-011421,54,Battery 1st degree,"1100 FAIR PARK
Little Rock, Arkansas",1/30/15
2015-030118,80,Battery 1st degree,"5204 MABLEVALE PK
Little Rock, Arkansas",3/21/15
2015-040406,82,Battery 1st degree,"9004 W HILARO SPRINGS ST
Little Rock, Arkansas",4/15/15
2015-053707,51,Battery 1st degree,"1300 MARSHALL ST
Little Rock, Arkansas",5/17/15
2015-058336,54,Battery 1st degree,"16 COLLEGE ST
Little Rock, Arkansas",5/27/15
2015-132814,51,Battery 1st degree,"9 S BATTERY ST
Little Rock, Arkansas",11/20/15
2015-139470,64,Battery 1st degree,"6310 COLONE GLENN RD
Little Rock, Arkansas",12/7/15
2015-140684,64,Battery 1st degree,"9400 BAPTIST HEALTH DR
Little Rock, Arkansas",12/11/15
2015-015643,41,Battery 2nd degree,"2700 E 27TH ST
Little Rock, Arkansas",2/10/15
2015-043607,54,Battery 2nd degree,"4307 W MARYLAND
Little Rock, Arkansas",4/23/15
2015-044492,40,Battery 2nd degree,"322 E PRESIDENT CLINTON
Little Rock, Arkansas",4/25/15
2015-054354,92,Battery 2nd degree,"9401 MABELVALE
Little Rock, Arkansas",5/18/15
2015-089737,42,Battery 2nd degree,"907 J L HAWKINS ST
Little Rock, Arkansas",8/7/15
2015-091059,42,Battery 2nd degree,"2024 E CAPITOL / 500 FLETCHER ST AV
Little Rock, Arkansas",8/10/15
2015-105847,64,Battery 2nd degree,"11501 FINANCIAL CENTRE
Little Rock, Arkansas",9/12/15
2015-107701,52,Battery 2nd degree,"2400 S MARTIN LUTHER KING BL
Little Rock, Arkansas",9/18/15
2015-108657,62,Battery 2nd degree,"7305 W COLONEL GLENN RD
Little Rock, Arkansas",9/21/15
