Incident Number,District,Offense Description,Incident Address,Incident Date
2015-143157,40,Theft of property Felony,"320 RIVER MARKET AV
Little Rock, Arkansas
(34.744778, -92.266049)",12/17/15
2015-139213,54,Theft of property Misd,"2620 LEWIS ST
Little Rock, Arkansas
(34.727153, -92.320736)",11/17/15
2015-087154,62,Theft of property Misd,"54 LAKESIDE DR
Little Rock, Arkansas
(34.702601, -92.359081)",8/1/15
2015-025554,61,Burglary - Residential,"118 S MISSISSIPPI ST
Little Rock, Arkansas
(34.752218, -92.358885)",3/10/15
2015-114413,90,Theft of property Misd,"10825 COLONEL GLENN RD
Little Rock, Arkansas
(34.712646, -92.398288)",10/5/15
2015-030681,53,Theft of property Misd,"3221 W MARKHAM ST
Little Rock, Arkansas
(34.751041, -92.309593)",3/17/15
2015-102730,60,Theft of property Misd,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752342, -92.343181)",9/7/15
2015-052127,91,Theft of property Misd,"8818 GEYER SPRINGS RD
Little Rock, Arkansas
(34.670542, -92.344285)",5/13/15
2015-115549,50,Breaking or Entering Vehicle,"614 BEECHWOOD ST
Little Rock, Arkansas
(34.756976, -92.324201)",10/7/15
2015-104911,70,Breaking or Entering Vehicle,"10812 BRECKENRIDGE DR
Little Rock, Arkansas
(34.764896, -92.394237)",9/12/15
2015-127049,40,Theft of property Felony,"424 W MARKHAM ST
Little Rock, Arkansas
(34.748676, -92.274593)",11/5/15
2014-068631,53,Burglary Commercial,"2801 W 12TH ST
Little Rock, Arkansas
(34.739867, -92.304603)",06/19/2014-06/20/2014
2015-017379,91,Theft of property Misd,"10215 MABELVALE PLAZA DR
Little Rock, Arkansas
(34.667665, -92.379368)",2/14/15
2015-089703,53,Theft of property lost mislaid or delivered by mistake Felony,"2800 W 13TH ST
Little Rock, Arkansas
(34.738945, -92.30479)",8/7/15
2015-002518,91,Burglary - Residential,"10200 RICHSMITH LN
Little Rock, Arkansas
(34.663774, -92.382286)",10/04/2014-12/20/2014
2015-096760,91,Theft of property Misd,"10101 MABELVALE PLAZA DR
Little Rock, Arkansas
(34.66855, -92.37827)",8/24/15
2015-021311,50,Breaking or Entering Vehicle,"111 N PARK ST
Little Rock, Arkansas
(34.751222, -92.296395)",02/25/2015-02/26/2015
2014-061861,91,Theft of property Felony,"11625 PONDEROSA DR
Little Rock, Arkansas
(34.64422, -92.358574)",06/04/2014-06/05/2014
2015-131316,60,Theft of property Misd,"600 S UNIVERSITY AV
Little Rock, Arkansas
(34.746455, -92.341396)",11/16/15
2015-129524,64,Theft of property Misd,"2700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729393, -92.394867)",11/11/15
2015-042585,71,Theft of property Misd,"13909 CHENAL
Little Rock, Arkansas
(34.754371, -92.4279)",4/14/15
2014-078711,53,Burglary - Residential,"4015 W 12TH ST
Little Rock, Arkansas
(34.740528, -92.318537)",06/13/2014-07/13/2014
2015-147857,41,Theft of property Misd,"2906 CENTER ST
Little Rock, Arkansas
(34.720124, -92.276534)",12/29/15
2015-086577,61,Breaking or Entering Vehicle,"8818 KANIS RD
Little Rock, Arkansas
(34.740283, -92.371951)",7/31/15
2015-025144,52,Theft of property Misd,"1400 S PINE ST
Little Rock, Arkansas
(34.73851, -92.316909)",3/9/15
2015-029911,54,Aggravated assault on an family or household member,"4712 W 16TH ST
Little Rock, Arkansas
(34.736923, -92.327358)",3/21/15
2015-017425,63,Theft of property Misd,"10700 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.769682, -92.391987)",2/14/15
2015-138875,91,Theft of property Felony,"7820 MOORE DR
Little Rock, Arkansas
(34.663807, -92.365941)",12/05/2015-12/06/2015
2015-076639,71,Theft of property Misd,"12700 CHENAL
Little Rock, Arkansas
(34.754179, -92.414858)",7/8/15
2015-144233,60,Breaking or Entering Vehicle,"14 WHITE OAK LN
Little Rock, Arkansas
(34.77471, -92.357357)",11/14/15
2014-127605,71,Breaking or Entering Vehicle,"3 PERDIDO DR
Little Rock, Arkansas
(34.760547, -92.423458)",11/02/2014-11/03/2014
2015-031363,81,Theft of property Misd,"8824 GEYER SPRINGS RD
Little Rock, Arkansas
(34.67057, -92.344283)",3/24/15
2015-073054,61,Burglary - Residential,"48 GLENMERE DR
Little Rock, Arkansas
(34.731495, -92.348762)",06/30/2015-07/01/2015
2014-144099,52,Theft of property Misd,"2222 S CHESTER ST
Little Rock, Arkansas
(34.727138, -92.284774)",11/24/2014-12/15/2014
2015-074094,81,Breaking or Entering Vehicle,"5701 W 65TH ST
Little Rock, Arkansas
(34.690538, -92.339176)",7/3/15
2015-016505,82,Aggravated assault,"9417 GEYER SPRINGS RD
Little Rock, Arkansas
(34.664464, -92.344596)",2/12/15
2015-033046,71,Theft of property Misd,"12110 CHENAL
Little Rock, Arkansas
(34.749416, -92.408746)",03/28/2015-03/29/2015
2014-048185,82,Burglary - Residential,"6812 FAIRFIELD DR
Little Rock, Arkansas
(34.665334, -92.35436)",05/02/2014-05/04/2014
2015-103523,93,Theft of property Felony,"10400 STAGECOACH RD
Little Rock, Arkansas
(34.656815, -92.426401)",06/19/2015-08/01/2015
2015-142673,54,Burglary - Residential,"1500 HENDRIX AV
Little Rock, Arkansas
(34.738914, -92.340899)",12/16/15
2015-129452,52,Burglary - Residential,"1300 W 17TH ST
Little Rock, Arkansas
(34.734373, -92.287855)",11/11/15
2014-122166,71,Theft of property Felony,"13101 CHENAL
Little Rock, Arkansas
(34.754986, -92.421854)",10/18/2014-10/21/2014
2015-045756,91,Breaking or Entering Vehicle,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",4/28/15
2014-000264,61,Burglary - Residential,"6 BELMONT DR
Little Rock, Arkansas
(34.728031, -92.34509)",12/21/2013-01/01/2014
2015-101009,91,Breaking or Entering Vehicle,"13715 EAGLE HAWK DR
Little Rock, Arkansas
(34.626497, -92.3429)",9/2/15
2015-139600,53,Theft of property Misd,"3809 W 11TH ST
Little Rock, Arkansas
(34.741349, -92.315981)",12/7/15
2014-065684,70,Theft of property Felony,"1605 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.768128, -92.403689)",03/25/2014-06/12/2014
2015-084547,90,Theft of property Felony,"11 BRIGHT LN
Little Rock, Arkansas
(34.670938, -92.401205)",7/26/15
2015-137229,43,Burglary Commercial,"2003 E ROOSEVELT RD
Little Rock, Arkansas
(34.722054, -92.248777)",12/01/2015-12/02/2015
2015-126120,62,Breaking or Entering Vehicle,"6200 COLONEL GLENN RD
Little Rock, Arkansas
(34.7177, -92.343676)",11/02/2015-11/03/2015
2015-114998,53,Theft of property Misd,"2711 W MARKHAM ST
Little Rock, Arkansas
(34.750881, -92.304387)",10/6/15
2015-003762,42,Burglary - Residential,"6504 PECAN AV
Little Rock, Arkansas
(34.718691, -92.19699)",1/10/15
2015-124742,91,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",10/30/15
2015-002131,51,Theft of property Misd,"700 W MARKHAM ST
Little Rock, Arkansas
(34.74909, -92.277695)",12/31/2014-01/02/2015
2014-052313,51,Theft of property Misd,"2426 W 13TH ST
Little Rock, Arkansas
(34.738846, -92.301289)",05/07/2014-05/14/2014
2015-086766,80,Terroristic Act,"5004 W 31ST ST
Little Rock, Arkansas
(34.723813, -92.330152)",7/31/15
2015-043734,82,Breaking or Entering Vehicle,"5300 BASELINE RD
Little Rock, Arkansas
(34.668813, -92.336695)",4/23/15
2014-121375,63,Breaking or Entering Vehicle,"24 WARWICK RD
Little Rock, Arkansas
(34.763198, -92.38818)",10/18/2014-10/19/2014
2014-112934,64,Theft of property Felony,"11200 BIRCHWOOD DR
Little Rock, Arkansas
(34.750915, -92.398584)",09/29/2014-09/30/2014
2015-066322,64,Breaking or Entering Vehicle,"9716 RELDA DR
Little Rock, Arkansas
(34.737291, -92.383398)",06/13/2015-06/15/2015
2015-031441,64,Terroristic Act,"2123 LABETTE MANOR DR
Little Rock, Arkansas
(34.734669, -92.376364)",3/25/15
2015-037346,51,Breaking or Entering Vehicle,"520 W 7TH ST
Little Rock, Arkansas
(34.742964, -92.277246)",4/8/15
2015-085833,70,Theft of property Misd,"2616 ARKANSAS VALLEY DR
Little Rock, Arkansas
(34.777343, -92.394899)",3/18/15
2015-072289,72,Burglary Commercial,"19121 DENNY RD
Little Rock, Arkansas
(34.768054, -92.47936)",06/22/2015-06/29/2015
2015-099734,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",8/31/15
2015-060653,61,Theft of property Misd,"2000 S UNIVERSITY AV
Little Rock, Arkansas
(34.733707, -92.341823)",6/2/15
2015-130621,63,Theft of property Misd,"7800 LEAWOOD
Little Rock, Arkansas
(34.758579, -92.360878)",11/12/15
2015-124392,52,Theft of property Misd,"1500 S PARK ST
Little Rock, Arkansas
(34.736879, -92.297799)",10/29/15
2015-039931,41,Breaking or Entering Vehicle,"2215 S LOUISIANA ST
Little Rock, Arkansas
(34.727071, -92.275078)",04/13/2015-04/14/2015
2015-010205,80,Burglary - Residential,"5517 W 51ST ST
Little Rock, Arkansas
(34.703304, -92.337302)",1/27/15
2015-042100,40,Breaking or Entering Vehicle,"1504 S IZARD ST
Little Rock, Arkansas
(34.735624, -92.282593)",04/18/2015-04/19/2015
2014-051964,81,Theft of property Felony,"4512 WEYMOUTH DR
Little Rock, Arkansas
(34.670613, -92.328102)",05/12/2014-05/13/2014
2015-030660,61,Theft of property Felony,"1707 LEANDER DR
Little Rock, Arkansas
(34.73681, -92.353854)",03/22/2015-03/23/2015
2015-006422,64,Burglary - Residential,"3219 LUDWIG ST
Little Rock, Arkansas
(34.723713, -92.374012)",1/17/15
2015-115041,40,Aggravated Robbery (Individual),"300 E 6TH ST
Little Rock, Arkansas
(34.742447, -92.265973)",10/7/15
2015-103544,53,Theft of property Misd,"3701 W 13TH ST
Little Rock, Arkansas
(34.739429, -92.314827)",09/09/2014-09/09/2015
2015-095339,93,Breaking or Entering Vehicle,"5 TOM WATSON CV
Little Rock, Arkansas
(34.666926, -92.438451)",8/21/15
2015-136219,51,Theft of property Misd,"2310 W 11TH ST
Little Rock, Arkansas
(34.740806, -92.299336)",11/29/15
2015-048424,52,Theft of property Felony,"39 WHITMORE
Little Rock, Arkansas
(34.714342, -92.29163)",04/06/2015-05/04/2015
2015-105434,71,Burglary - Residential,"523 NIX RD
Little Rock, Arkansas
(34.749107, -92.420393)",9/13/15
2015-058586,60,Theft of property Misd,"1701 N BRYANT ST
Little Rock, Arkansas
(34.767487, -92.352765)",5/28/15
2015-118609,91,Theft of property Felony,"11500 PONDEROSA DR
Little Rock, Arkansas
(34.645533, -92.358583)",09/01/2015-10/14/2015
2014-095351,61,Burglary - Residential,"35 GLENMERE DR
Little Rock, Arkansas
(34.730279, -92.349537)",08/15/2014-08/20/2014
2015-127124,63,Theft of property Felony,"2404 BRECKENRIDGE DR
Little Rock, Arkansas
(34.776696, -92.384512)",11/5/15
2015-108502,91,Terroristic Act,"9516 WOODFORD DR
Little Rock, Arkansas
(34.66499, -92.373261)",9/21/15
2015-016590,90,Theft of property Felony,"21 REMINGTON DR
Little Rock, Arkansas
(34.708726, -92.400197)",2/12/15
2015-099832,81,Theft of property Misd,"8311 SCOTT HAMILTON DR
Little Rock, Arkansas
(34.672853, -92.317698)",8/31/15
2014-147627,64,Theft of property Felony,"11121 BEVERLY HILLS DR
Little Rock, Arkansas
(34.757257, -92.397717)",12/23/2014-12/24/2014
2014-111120,70,Breaking or Entering Vehicle,"4710 SAM PECK RD
Little Rock, Arkansas
(34.796099, -92.414903)",09/25/2014-09/26/2014
2015-050697,80,Battery 2nd degree,"2901 S MONROE ST
Little Rock, Arkansas
(34.725333, -92.328592)",5/9/15
2015-012944,72,Breaking or Entering Vehicle,"12 LONGLEAF CV
Little Rock, Arkansas
(34.801681, -92.459145)",02/02/2015-02/03/2015
2015-115664,50,Burglary - Residential,"116 BERRY ST
Little Rock, Arkansas
(34.753975, -92.305719)",10/8/15
2014-007695,82,Theft of property Misd,"9110 LEW DR
Little Rock, Arkansas
(34.667633, -92.340283)",01/16/2014-01/20/2014
2014-009615,53,Burglary - Residential,"1109 APPIANWAY ST
Little Rock, Arkansas
(34.740531, -92.304529)",01/25/2014-01/26/2014
2015-048082,62,Robbery (Individual),"6420 COLONEL GLENN RD
Little Rock, Arkansas
(34.717837, -92.346894)",5/3/15
2015-084267,40,Theft of property Misd,"424 W MARKHAM ST
Little Rock, Arkansas
(34.748676, -92.274593)",7/25/15
2015-057872,71,Burglary Commercial,"12320 CHENAL
Little Rock, Arkansas
(34.7522, -92.412677)",5/26/15
2014-102915,52,Theft of property Misd,"2005 S GAINES ST
Little Rock, Arkansas
(34.729475, -92.281041)",09/06/2014-09/07/2014
2015-065086,91,Theft of property Misd,"6208 SENATE DR
Little Rock, Arkansas
(34.666979, -92.347148)",6/12/15
2015-116085,82,Breaking or Entering Vehicle,"4901 W 65TH ST
Little Rock, Arkansas
(34.690263, -92.330944)",10/9/15
2015-037807,72,Burglary - Residential,"2009 BECKENHAM CV
Little Rock, Arkansas
(34.773481, -92.428233)",03/21/2015-09/08/2015
2015-038517,64,Theft of property Misd,"2700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729393, -92.394867)",4/10/15
2015-107399,51,Theft of scrap metal,"800 W 8TH ST
Little Rock, Arkansas
(34.742374, -92.280269)",09/11/2015-09/18/2015
2015-077842,91,Theft of property Misd,"10109 WOODBRIDGE DR
Little Rock, Arkansas
(34.658082, -92.371249)",7/10/15
2015-140136,52,Burglary - Residential,"2930 S RINGO ST
Little Rock, Arkansas
(34.719625, -92.286983)",12/9/15
2015-146063,60,Theft of property Misd,"420 S UNIVERSITY AV
Little Rock, Arkansas
(34.749245, -92.3413)",12/19/2015-12/22/2015
2014-045486,62,Breaking or Entering Vehicle,"45 LAKESHORE DR
Little Rock, Arkansas
(34.726129, -92.346364)",04/26/2014-04/27/2014
2015-002982,54,Theft of property Felony,"2 SAINT VINCENT
Little Rock, Arkansas
(34.750206, -92.338203)",1/8/15
2015-132947,70,Theft of property Felony,"13701 PLEASANT FOREST DR
Little Rock, Arkansas
(34.789904, -92.425105)",11/20/15
2015-063075,61,Breaking or Entering Vehicle,"16 POINT OWOODS DR
Little Rock, Arkansas
(34.731944, -92.343099)",06/07/2015-06/08/2015
2015-039050,40,Burglary - Residential,"521 PRESIDENT CLINTON AV
Little Rock, Arkansas
(34.747294, -92.264441)",4/12/15
2014-149166,64,Theft of property Misd,"111 N BOWMAN RD
Little Rock, Arkansas
(34.75531, -92.406294)",12/26/2014-12/27/2014
2015-084837,91,Aggravated assault on an family or household member,"6216 SENATE DR
Little Rock, Arkansas
(34.666992, -92.347587)",7/27/15
2015-054234,90,Theft of property Misd,"7 ARDMORE DR
Little Rock, Arkansas
(34.697743, -92.351799)",5/5/15
2014-069067,51,Theft of property Felony,"1123 S VICTORY ST
Little Rock, Arkansas
(34.739567, -92.287881)",06/21/2014-06/21/2014
2015-127877,60,Theft of property Felony,"6320 CANTRELL RD
Little Rock, Arkansas
(34.768459, -92.3439)",11/06/2015-11/07/2015
2015-030883,60,Theft of property Misd,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752342, -92.343181)",3/23/15
2014-071638,70,Theft of property Misd,"11101 ANDERSON DR
Little Rock, Arkansas
(34.78927, -92.395136)",06/26/2014-06/27/2014
2015-061165,90,Breaking or Entering Vehicle,"9400 STAGECOACH RD
Little Rock, Arkansas
(34.665557, -92.421922)",6/3/15
2015-033521,81,Theft of property Felony,"6501 GEYER SPRINGS RD
Little Rock, Arkansas
(34.690285, -92.343266)",3/30/15
2014-070864,70,Theft of property Misd,"3028 PAINTED VALLEY DR
Little Rock, Arkansas
(34.78144, -92.398791)",06/19/2014-06/20/2014
2015-105342,90,Burglary Commercial,"5700 S UNIVERSITY AV
Little Rock, Arkansas
(34.697586, -92.345938)",09/12/2015-09/13/2015
2014-032820,54,Burglary - Residential,"2705 JEFFERSON ST
Little Rock, Arkansas
(34.726884, -92.326236)",03/26/2014-03/28/2014
2014-110215,81,Domestic Battering 1st degree,"8223 SCOTT HAMILTON DR
Little Rock, Arkansas
(34.673733, -92.317641)",09/18/2014-09/22/2014
2015-103431,64,Breaking or Entering Vehicle,"507 DEERBROOK RD
Little Rock, Arkansas
(34.748721, -92.374702)",09/08/2015-09/09/2015
2014-128901,40,Theft of property Misd,"111 E MARKHAM ST
Little Rock, Arkansas
(34.748001, -92.26967)",11/01/2014-11/03/2014
2015-061150,71,Theft of property Misd,"12700 CHENAL
Little Rock, Arkansas
(34.754179, -92.414858)",6/3/15
2015-143433,71,Theft of property Felony,"15 JOHNNYCAKE LN
Little Rock, Arkansas
(34.76635, -92.404312)",12/17/15
2014-028771,42,Theft of property Felony,"3201 BANKHEAD DR
Little Rock, Arkansas
(34.71455, -92.223604)",03/17/2014-03/18/2014
2015-058622,60,Theft of property Misd,"6700 H ST
Little Rock, Arkansas
(34.7597, -92.34663)",5/28/15
2015-052708,64,Theft of property Misd,"11801 CHENAL
Little Rock, Arkansas
(34.748791, -92.4054)",5/14/15
2015-032101,82,Breaking or Entering Vehicle,"7501 JAMISON RD
Little Rock, Arkansas
(34.680277, -92.312797)",03/13/2015-03/17/2015
2015-073407,63,Theft of property Misd,"10524 W MARKHAM ST
Little Rock, Arkansas
(34.753884, -92.390419)",7/1/15
2015-021087,91,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",2/25/15
2015-065559,92,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",6/11/15
2015-139158,63,Theft of property Felony,"1812 RESERVOIR RD
Little Rock, Arkansas
(34.768257, -92.37595)",12/6/15
2015-069619,50,Breaking or Entering Vehicle,"5420 COUNTRY CLUB
Little Rock, Arkansas
(34.772034, -92.333664)",6/21/15
2015-093937,54,Theft of property Misd,"1518 S TAYLOR ST
Little Rock, Arkansas
(34.737781, -92.335759)",08/16/2015-08/17/2015
2015-060515,82,Aggravated assault,"9417 GEYER SPRINGS RD
Little Rock, Arkansas
(34.664464, -92.344596)",5/26/15
2015-070055,54,Theft of property Misd,"1901 S UNIVERSITY AV
Little Rock, Arkansas
(34.734516, -92.341699)",6/24/15
2015-073309,43,Theft of property Felony,"1009 WELCH ST
Little Rock, Arkansas
(34.737609, -92.259794)",7/1/15
2015-147829,70,Breaking or Entering Vehicle,"10853 RIVERCREST DR
Little Rock, Arkansas
(34.799185, -92.393436)",12/28/2015-12/29/2015
2015-007936,53,Theft of property Misd,"3915 W 8TH ST
Little Rock, Arkansas
(34.744104, -92.317211)",1/21/15
2015-078645,81,Burglary Commercial,"6000 PATTERSON RD
Little Rock, Arkansas
(34.695024, -92.324919)",07/09/2015-07/10/2015
2015-112917,80,Theft of property Misd,"5900 S UNIVERSITY AV
Little Rock, Arkansas
(34.696011, -92.346014)",10/1/15
2015-137078,64,Theft of property Felony,"2700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729393, -92.394867)",10/02/2015-11/21/2015
2015-123094,64,Theft of property Misd,"1212 S SHACKLEFORD RD
Little Rock, Arkansas
(34.742082, -92.394403)",10/26/15
2015-065702,63,Robbery (Individual),"10524 W MARKHAM ST
Little Rock, Arkansas
(34.753884, -92.390419)",6/14/15
2015-133331,71,Theft of property Misd,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",11/21/15
2015-054630,82,Theft of property Felony,"5300 BASELINE RD
Little Rock, Arkansas
(34.668813, -92.336695)",5/8/15
2014-144298,70,Breaking or Entering Vehicle,"11800 PLEASANT RIDGE RD
Little Rock, Arkansas
(34.795028, -92.407086)",12/15/2014-12/16/2014
2015-057705,60,Breaking or Entering Vehicle,"209 N PLAZA DR
Little Rock, Arkansas
(34.75422, -92.346582)",5/26/15
2015-016619,53,Robbery (Individual),"3601 W ROOSEVELT RD
Little Rock, Arkansas
(34.725789, -92.314026)",2/12/15
2015-135087,41,Theft of property Misd,"1711 MAIN ST
Little Rock, Arkansas
(34.731319, -92.2736)",11/25/15
2015-082134,71,Breaking or Entering Vehicle,"1819 RAINWOOD COVE DR
Little Rock, Arkansas
(34.770512, -92.409192)",07/20/2015-07/21/2015
2015-089149,53,Terroristic Act,"1624 S CEDAR ST
Little Rock, Arkansas
(34.736086, -92.318092)",8/6/15
2015-074716,82,Theft of property Misd,"5917 BASELINE RD
Little Rock, Arkansas
(34.669104, -92.3433)",7/4/15
2014-020809,61,Theft of property Felony,"2715 DORCHESTER DR
Little Rock, Arkansas
(34.728217, -92.360379)",12/23/2013-01/07/2014
2015-036520,71,Theft of property Misd,"14617 CHAMBERY DR
Little Rock, Arkansas
(34.760323, -92.437207)",4/6/15
2015-004397,64,Burglary - Residential,"9108 TANYA DR
Little Rock, Arkansas
(34.732091, -92.37663)",1/12/15
2015-104362,51,Theft of property Felony,"3200 COLEMAN PL
Little Rock, Arkansas
(34.73423, -92.34187)",09/03/2015-09/10/2015
2015-086751,82,Theft of property Felony,"8803 GEYER SPRINGS RD
Little Rock, Arkansas
(34.66987, -92.344322)",7/31/15
2015-014894,63,Breaking or Entering Vehicle,"9200 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.757875, -92.377267)",02/06/2015-02/08/2015
2015-103224,62,Battery 2nd degree,"2700 QUEBEC DR
Little Rock, Arkansas
(34.728711, -92.362429)",9/8/15
2015-021530,51,Aggravated assault,"2324 W 7TH ST
Little Rock, Arkansas
(34.744769, -92.298807)",2/26/15
2015-124899,82,Breaking or Entering Vehicle,"9101 AUXOR RD
Little Rock, Arkansas
(34.666569, -92.315418)",10/30/15
2014-138156,63,Burglary - Residential,"8101 CANTRELL RD
Little Rock, Arkansas
(34.776496, -92.363765)",11/26/2014-11/30/2014
2015-036930,72,Burglary Commercial,"1001 TECHNOLOGY DR
Little Rock, Arkansas
(34.763232, -92.45192)",4/5/15
2015-099227,50,Burglary Commercial,"1509 REBSAMEN PARK RD
Little Rock, Arkansas
(34.76444, -92.310095)",08/29/2015-08/30/2015
2015-057553,63,Theft of property Felony,"3125 ECHO VALLEY DR
Little Rock, Arkansas
(34.78173, -92.381304)",05/25/2015-05/26/2015
2015-094368,53,Theft of property Misd,"3024 W 12TH ST
Little Rock, Arkansas
(34.740011, -92.307923)",8/18/15
2015-100682,60,Robbery (Business),"420 S UNIVERSITY AV
Little Rock, Arkansas
(34.749245, -92.3413)",9/2/15
2015-062058,71,Theft of property Misd,"13909 CHENAL
Little Rock, Arkansas
(34.754371, -92.4279)",5/28/15
2015-134708,43,Burglary Commercial,"2003 E ROOSEVELT RD
Little Rock, Arkansas
(34.722054, -92.248777)",11/24/15
2015-023130,64,Theft of property Felony,"9500 KANIS RD
Little Rock, Arkansas
(34.743751, -92.380225)",3/3/15
2014-060885,63,Burglary Commercial,"2601 MILLBROOK RD
Little Rock, Arkansas
(34.7764, -92.382034)",06/02/2014-06/03/2014
2015-135627,81,Theft of property Misd,"7907 DOYLE SPRINGS RD
Little Rock, Arkansas
(34.676992, -92.328346)",11/24/15
2015-048478,64,Theft of property Felony,"2616 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729982, -92.394845)",5/4/15
2015-148279,80,Terroristic Act,"5517 W 51ST ST
Little Rock, Arkansas
(34.703304, -92.337302)",12/30/15
2014-051542,60,Breaking or Entering Vehicle,"1024 N COOLIDGE ST
Little Rock, Arkansas
(34.761779, -92.350777)",05/10/2014-05/11/2014
2015-096656,60,Theft of property Misd,"600 S UNIVERSITY AV
Little Rock, Arkansas
(34.746455, -92.341396)",8/24/15
2015-121745,91,Aggravated Robbery (Individual),"9600 I-30
Little Rock, Arkansas
(34.674825, -92.368626)",10/23/15
2015-047744,54,Domestic Battering 2nd degree,"4119 W 13TH ST
Little Rock, Arkansas
(34.739645, -92.319859)",04/26/2015-05/02/2015
2014-032074,81,Theft of property Misd,"7501 INTERSTATE 30
Little Rock, Arkansas
(34.678517, -92.321232)",03/25/2014-03/26/2014
2014-113867,80,Breaking or Entering Vehicle,"5500 W 33RD ST
Little Rock, Arkansas
(34.718198, -92.334747)",09/05/2014-10/01/2014
2015-146133,81,Theft of property Misd,"8709 GEYER SPRINGS RD
Little Rock, Arkansas
(34.670591, -92.344282)",12/24/15
2015-007831,51,Aggravated assault,"7900 W SCOTT HAMILTON DR
Little Rock, Arkansas
(34.677355, -92.319558)",1/21/15
2015-099828,82,Theft of property Misd,"5917 BASELINE RD
Little Rock, Arkansas
(34.669104, -92.3433)",8/31/15
2015-108300,93,Theft of property Felony,"29 AUGUSTA CT
Little Rock, Arkansas
(34.678185, -92.422646)",09/19/2015-09/20/2015
2015-046773,60,Theft of property Misd,"420 S UNIVERSITY AV
Little Rock, Arkansas
(34.749245, -92.3413)",4/30/15
2015-066304,92,Aggravated assault on an family or household member,"8610 TEDBURN DR
Little Rock, Arkansas
(34.66585, -92.374655)",6/15/15
2014-126127,80,Theft of property Misd,"5921 LYNDELL DR
Little Rock, Arkansas
(34.695187, -92.332703)",10/01/2014-10/27/2014
2015-059168,50,Breaking or Entering Vehicle,"3901 W MARKHAM ST
Little Rock, Arkansas
(34.75137, -92.316827)",5/29/15
2015-116569,54,Theft of property Misd,"4110 W 12TH ST
Little Rock, Arkansas
(34.74058, -92.31952)",10/10/15
2015-013595,52,Breaking or Entering Vehicle,"2600 DR MARTIN LUTHER KIN DR
Little Rock, Arkansas
(34.723853, -92.289742)",2/4/15
2015-066373,60,Theft of property Misd,"600 S UNIVERSITY AV
Little Rock, Arkansas
(34.746455, -92.341396)",6/15/15
2014-060092,42,Breaking or Entering Vehicle,"3200 BANKHEAD DR
Little Rock, Arkansas
(34.715113, -92.224243)",05/31/2014-06/01/2014
2014-117154,61,Theft of property Misd,"40 BERKSHIRE DR
Little Rock, Arkansas
(34.731112, -92.345696)",06/01/2011-09/01/2011
2014-115341,60,Burglary - Residential,"6915 AMHERST DR
Little Rock, Arkansas
(34.753707, -92.351771)",10/04/2014-10/05/2014
2015-142511,90,Burglary - Residential,"7405 DEBBIE DR
Little Rock, Arkansas
(34.690061, -92.35939)",12/15/15
2014-136349,40,Theft of property Misd,"425 W CAPITOL AV
Little Rock, Arkansas
(34.74478, -92.275623)",11/21/2014-11/24/2014
2014-137204,63,Burglary - Residential,"1400 OLD FORGE DR
Little Rock, Arkansas
(34.765769, -92.383332)",11/25/2014-11/27/2014
2015-041738,92,Theft of property Misd,"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",04/14/2015-04/18/2015
2015-103519,63,Theft of property Misd,"1221 RESERVOIR RD
Little Rock, Arkansas
(34.762727, -92.376185)",9/8/15
2014-041065,51,Theft of property Misd,"101 S VICTORY ST
Little Rock, Arkansas
(34.749985, -92.285816)",04/16/2014-04/17/2014
2015-021071,51,Theft of property Misd,"1 CHILDRENS
Little Rock, Arkansas
(34.74354, -92.291465)",2/25/15
2015-131002,53,Burglary - Residential,"719 S VALENTINE ST
Little Rock, Arkansas
(34.745105, -92.31329)",11/14/2015-11/15/2015
2015-126582,82,Theft of property Misd,"3412 ARAPAHO
Little Rock, Arkansas
(34.661682, -92.317365)",11/4/15
2015-100713,71,Breaking or Entering Vehicle,"13111 W MARKHAM ST
Little Rock, Arkansas
(34.753439, -92.423627)",09/01/2015-09/02/2015
2015-007058,91,Robbery (Business),"8801 BASELINE RD
Little Rock, Arkansas
(34.670094, -92.3767)",1/19/15
2015-073821,64,Domestic Battering 2nd degree,"9101 W MARKHAM ST
Little Rock, Arkansas
(34.753315, -92.374491)",7/2/15
2015-112491,60,Burglary - Residential,"208 DEL RIO DR
Little Rock, Arkansas
(34.754051, -92.347913)",9/30/15
