IncidentNumber,District,offenseDesc1,IncidentAddress,IncidentDate
2016-114818,71,BREAKING OR ENTERING VEHICLE,"9 ENTERGY CT
Little Rock, Arkansas
(34.753985, -92.410143)",10/06/2016-10/07/2016
2016-140233,70,BREAKING OR ENTERING VEHICLE,"1601 N SHACKLEFORD RD
Little Rock, Arkansas
(34.768004, -92.395817)",12/14/2016-12/15/2016
2016-057486,43,BREAKING OR ENTERING VEHICLE,"1219 WELCH ST
Little Rock, Arkansas
(34.73527, -92.259805)",5/25/2016-5/26/2016
2016-130998,81,BREAKING OR ENTERING VEHICLE,"3824 COMMUNITY LN
Little Rock, Arkansas
(34.672566, -92.321465)",11/20/2016-11/21/2016
2016-112272,40,BREAKING OR ENTERING VEHICLE,"1500 CENTER ST
Little Rock, Arkansas
(34.73453, -92.275465)",10/04/2016-10/05/2016
2016-006292,93,BREAKING OR ENTERING VEHICLE,"34 EAGLE NEST CT
Little Rock, Arkansas
(34.668507, -92.435124)",01/16/2016-01/17/2016
2016-142593,60,BREAKING OR ENTERING VEHICLE,"6900 CANTRELL RD
Little Rock, Arkansas
(34.769393, -92.352904)",12/21/2016-12/21/2016
2016-049022,70,BREAKING OR ENTERING VEHICLE,"1202 BRIAR CREEK RD
Little Rock, Arkansas
(34.764108, -92.400132)",5/4/2016-5/5/2016
2016-033613,71,BREAKING OR ENTERING VEHICLE,"1912 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.769154, -92.403696)",03/27/2016-03/28/2016
2016-132242,71,BREAKING OR ENTERING VEHICLE,"601 NAPA VALLEY DR
Little Rock, Arkansas
(34.76001, -92.411552)",11/23/2016-11/24/2016
2016-064936,60,BREAKING OR ENTERING VEHICLE,"7404 ILLINOIS ST
Little Rock, Arkansas
(34.767256, -92.356312)",6/12/2016-6/13/2016
2016-031636,81,BREAKING OR ENTERING VEHICLE,"4715 BUCKINGHAM PL
Little Rock, Arkansas
(34.67076, -92.330575)",03/19/2016-03/20/2016
2016-108635,70,BREAKING OR ENTERING VEHICLE,"5500 HIGHLAND DR
Little Rock, Arkansas
(34.803781, -92.42638)",09/25/2016-09/26/2016
2016-020004,72,BREAKING OR ENTERING VEHICLE,"71 VILLAS CIR
Little Rock, Arkansas
(34.777632, -92.453487)",02/22/2016-02/23/2016
2016-001281,50,BREAKING OR ENTERING VEHICLE,"2400 RIVERFRONT DR
Little Rock, Arkansas
(34.773941, -92.310425)",01/03/2016-01/04/2016
2016-120956,71,BREAKING OR ENTERING VEHICLE,"14 BANGOR CT
Little Rock, Arkansas
(34.741758, -92.444155)",10/25/2016-10/26/2016
2016-139993,81,BREAKING OR ENTERING VEHICLE,"8911 INTERSTATE 30
Little Rock, Arkansas
(34.677678, -92.353865)",12/14/16
2016-053144,71,BREAKING OR ENTERING VEHICLE,"500 NAPA VALLEY DR
Little Rock, Arkansas
(34.759726, -92.41156)",5/14/2016-5/15/2016
2016-048416,53,BREAKING OR ENTERING VEHICLE,"3103 W 17TH ST
Little Rock, Arkansas
(34.735488, -92.308454)",05/03/2016-05/03/2016
2016-130668,54,BREAKING OR ENTERING VEHICLE,"2900 PEYTON ST
Little Rock, Arkansas
(34.725132, -92.322989)",11/20/16
2016-054853,90,BREAKING OR ENTERING VEHICLE,"11 TIMBERSIDE CV
Little Rock, Arkansas
(34.697253, -92.380642)",5/9/2016-5/13/2016
2016-134057,63,BREAKING OR ENTERING VEHICLE,"9300 TREASURE HILL RD
Little Rock, Arkansas
(34.760942, -92.37958)",11/22/2016-11/29/2016
2016-109365,50,BREAKING OR ENTERING VEHICLE,"620 N SPRUCE ST
Little Rock, Arkansas
(34.757157, -92.326567)",09/27/2016-09/28/2016
2016-106998,82,BREAKING OR ENTERING VEHICLE,"6510 MABELVALE CUT OFF RD
Little Rock, Arkansas
(34.654787, -92.350286)",09/21/2016-09/22/2016
2016-125363,90,BREAKING OR ENTERING VEHICLE,"10 HANOVER DR
Little Rock, Arkansas
(34.692412, -92.350696)",11/05/2016-11/06/2016
2016-131031,70,BREAKING OR ENTERING VEHICLE,"11901 PLEASANT RIDGE RD
Little Rock, Arkansas
(34.79289, -92.408248)",11/20/2016-11/21/2016
2016-095689,50,BREAKING OR ENTERING VEHICLE,"2400 RIVERFRONT DR
Little Rock, Arkansas
(34.773941, -92.310425)",08/24/2016-08/25/2016
2016-107005,64,BREAKING OR ENTERING VEHICLE,"1212 S SHACKLEFORD RD
Little Rock, Arkansas
(34.742082, -92.394403)",09/21/2016-09/22/2016
2016-121644,71,BREAKING OR ENTERING VEHICLE,"1304 JENNIFER DR
Little Rock, Arkansas
(34.766687, -92.416218)",10/27/2016-10/28/2016
2016-004896,64,BREAKING OR ENTERING VEHICLE,"12 CROSSINGS CT
Little Rock, Arkansas
(34.726824, -92.396221)",01/12/2016-01/13/2016
2016-086225,62,BREAKING OR ENTERING VEHICLE,"3800 STANNUS ST
Little Rock, Arkansas
(34.718391, -92.360013)",8/1/16
2016-033464,50,BREAKING OR ENTERING VEHICLE,"5600 B ST
Little Rock, Arkansas
(34.753703, -92.336277)",03/25/2016-03/26/2016
2016-009148,93,BREAKING OR ENTERING VEHICLE,"1 TREVINO CV
Little Rock, Arkansas
(34.67039, -92.43782)",01/24/2016-01/25/2016
2016-023950,70,BREAKING OR ENTERING VEHICLE,"14400 BEAU VUE DR
Little Rock, Arkansas
(34.808662, -92.433582)",03/03/2016-03/04/2016
2016-094405,82,BREAKING OR ENTERING VEHICLE,"10215 REPUBLIC LN
Little Rock, Arkansas
(34.65732, -92.341255)",08/21/2016-08/22/2016
2016-137457,53,BREAKING OR ENTERING VEHICLE,"2814 W CAPITOL AVE
Little Rock, Arkansas
(34.747159, -92.304345)",12/07/2016-12/08/2016
2016-025089,63,BREAKING OR ENTERING VEHICLE,"9600 SATTERFIELD DR
Little Rock, Arkansas
(34.762326, -92.380863)",03/05/2016-03/06/2016
2016-117629,50,BREAKING OR ENTERING VEHICLE,"107 S PARK ST
Little Rock, Arkansas
(34.750087, -92.296424)",10/17/2016-10/18/2016
2016-082717,42,BREAKING OR ENTERING VEHICLE,"3201 BANKHEAD DR
Little Rock, Arkansas
(34.714364, -92.223375)",07/23/2016-07/24/2016
2016-092011,93,BREAKING OR ENTERING VEHICLE,"25 CHATEAUS LN
Little Rock, Arkansas
(34.66112, -92.42778)",08/15/2016-08/16/2016
2016-126512,70,BREAKING OR ENTERING VEHICLE,"15 TAM O SHANTER CT
Little Rock, Arkansas
(34.777573, -92.41658)",11/9/16
2016-109005,51,BREAKING OR ENTERING VEHICLE,"1708 N MONROE ST
Little Rock, Arkansas
(34.76729, -92.327484)",09/26/2016-09/27/2016
2016-096040,63,BREAKING OR ENTERING VEHICLE,"56 COACHLIGHT DR
Little Rock, Arkansas
(34.764713, -92.38102)",08/25/2016-08/26/2016
2016-010692,50,BREAKING OR ENTERING VEHICLE,"2510 RIVERFRONT DR
Little Rock, Arkansas
(34.774754, -92.311474)",01/28/2016-01/29/2016
2016-088569,61,BREAKING OR ENTERING VEHICLE,"53 GLENMERE DR
Little Rock, Arkansas
(34.73206, -92.348747)",8/7/16
2016-133209,62,BREAKING OR ENTERING VEHICLE,"8900 COLONEL GLENN RD
Little Rock, Arkansas
(34.710434, -92.374553)",11/27/16
2016-016764,50,BREAKING OR ENTERING VEHICLE,"5115 F ST
Little Rock, Arkansas
(34.757583, -92.330829)",02/13/2016-02/14/2016
2016-041338,81,BREAKING OR ENTERING VEHICLE,"5805 W 65TH ST
Little Rock, Arkansas
(34.690621, -92.341317)",04/15/2016-04/16/2016
2016-144196,64,BREAKING OR ENTERING VEHICLE,"600 HARDIN RD
Little Rock, Arkansas
(34.748118, -92.398477)",12/25/16
2016-122798,40,BREAKING OR ENTERING VEHICLE,"209 E 8TH ST
Little Rock, Arkansas
(34.740972, -92.269994)",10/31/16
2016-128054,63,BREAKING OR ENTERING VEHICLE,"9214 N RODNEY PARHAM RD
Little Rock, Arkansas
(34.758289, -92.378322)",11/13/16
2016-028505,63,BREAKING OR ENTERING VEHICLE,"1221 RESERVOIR RD
Little Rock, Arkansas
(34.76275, -92.376184)",03/14/2016-03/15/2016
2016-127223,93,BREAKING OR ENTERING VEHICLE,"1 BASS PRO DR
Little Rock, Arkansas
(34.657555, -92.409886)",11/11/16
2016-088887,53,BREAKING OR ENTERING VEHICLE,"143 PEARL AVE
Little Rock, Arkansas
(34.749344, -92.304805)",08/07/2016-08/08/2016
2016-135229,64,BREAKING OR ENTERING VEHICLE,"10809 EXECUTIVE CENTER DR
Little Rock, Arkansas
(34.739522, -92.397565)",12/01/2016-12/02/2016
2016-012697,64,BREAKING OR ENTERING VEHICLE,"3200 S SHACKLEFORD RD
Little Rock, Arkansas
(34.722479, -92.394085)",02/02/2016-02/03/2016
2016-140118,60,BREAKING OR ENTERING VEHICLE,"6000 W MARKHAM ST
Little Rock, Arkansas
(34.752338, -92.343058)",12/14/16
2016-032733,62,BREAKING OR ENTERING VEHICLE,"7824 W 36TH ST
Little Rock, Arkansas
(34.720418, -92.363034)",02/25/2016-03/26/2016
2016-035961,90,BREAKING OR ENTERING VEHICLE,"29 IVY DR
Little Rock, Arkansas
(34.695863, -92.349102)",04/02/2016-04/03/2016
2016-140455,70,BREAKING OR ENTERING VEHICLE,"1601 N SHACKLEFORD RD
Little Rock, Arkansas
(34.768004, -92.395817)",12/15/2016-12/15/2016
2016-054500,40,BREAKING OR ENTERING VEHICLE,"1619 S LOUISIANA ST
Little Rock, Arkansas
(34.732896, -92.274565)",5/17/2016-5/18/2016
2016-139456,50,BREAKING OR ENTERING VEHICLE,"5816 S COUNTRY CLUB BLVD
Little Rock, Arkansas
(34.771713, -92.339541)",11/03/2016-11/12/2016
2016-117122,62,BREAKING OR ENTERING VEHICLE,"7 LAKESIDE DR
Little Rock, Arkansas
(34.703504, -92.359493)",10/16/2016-10/17/2016
2016-120421,90,BREAKING OR ENTERING VEHICLE,"5 SIENNA LAKE CV
Little Rock, Arkansas
(34.686996, -92.422502)",10/24/2016-10/25/2016
2016-113994,72,BREAKING OR ENTERING VEHICLE,"5400 CHENONCEAU BLVD
Little Rock, Arkansas
(34.803813, -92.473021)",10/08/2016-10/09/2016
2016-120858,50,BREAKING OR ENTERING VEHICLE,"16 BRANCH DR
Little Rock, Arkansas
(34.755235, -92.301017)",10/25/2016-10/24/2016
2016-140232,60,BREAKING OR ENTERING VEHICLE,"7111 INDIANA AVE
Little Rock, Arkansas
(34.768043, -92.353319)",12/15/16
2016-132298,72,BREAKING OR ENTERING VEHICLE,"50 BOURESSE CIR
Little Rock, Arkansas
(34.805372, -92.49)",11/24/16
2016-143180,60,BREAKING OR ENTERING VEHICLE,"7205 ILLINOIS ST
Little Rock, Arkansas
(34.767172, -92.354225)",12/21/2016-12/22/2016
2016-145943,54,BREAKING OR ENTERING VEHICLE,"4500 W 29TH ST
Little Rock, Arkansas
(34.725274, -92.324296)",12/29/2016-12/30/2016
2016-051847,42,BREAKING OR ENTERING VEHICLE,"707 INTERSTATE 30
Little Rock, Arkansas
(34.740623, -92.262003)",5/11/2016-5/12/2016
2016-129379,71,BREAKING OR ENTERING VEHICLE,"800 NAPA VALLEY DR
Little Rock, Arkansas
(34.761662, -92.411488)",11/16/16
2016-116358,71,BREAKING OR ENTERING VEHICLE,"23 BANGOR CT
Little Rock, Arkansas
(34.74095, -92.444186)",10/14/2016-10/15/2016
2016-144321,53,BREAKING OR ENTERING VEHICLE,"3619 W MARKHAM ST
Little Rock, Arkansas
(34.751235, -92.313835)",12/16/2016-12/25/2016
2016-025207,71,BREAKING OR ENTERING VEHICLE,"504 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.758872, -92.400439)",03/06/2016-03/07/2016
2016-119395,50,BREAKING OR ENTERING VEHICLE,"19 BLUE RIDGE CIR
Little Rock, Arkansas
(34.778704, -92.329919)",10/21/2016-10/22/2016
2016-040786,64,BREAKING OR ENTERING VEHICLE,"700 S BOWMAN RD
Little Rock, Arkansas
(34.747723, -92.407169)",4/15/2016-4/15/2016
2016-136023,64,BREAKING OR ENTERING VEHICLE,"10909 MARA LYNN RD
Little Rock, Arkansas
(34.757608, -92.395226)",12/4/16
2016-059644,60,BREAKING OR ENTERING VEHICLE,"7314 MISSOURI AVE
Little Rock, Arkansas
(34.766303, -92.355429)",5/28/2016-5/31/2016
2016-006945,54,BREAKING OR ENTERING VEHICLE,"4202 W 17TH ST
Little Rock, Arkansas
(34.735788, -92.320705)",01/18/2016-01/19/2016
2016-131422,50,BREAKING OR ENTERING VEHICLE,"4422 I ST
Little Rock, Arkansas
(34.758583, -92.322724)",11/21/2016-11/22/2016
2016-139363,64,BREAKING OR ENTERING VEHICLE,"11501 FINANCIAL CENTRE PKWY
Little Rock, Arkansas
(34.746897, -92.401866)",12/12/2016-12/13/2016
2016-016402,64,BREAKING OR ENTERING VEHICLE,"9201 KANIS RD
Little Rock, Arkansas
(34.741583, -92.377205)",02/12/2016-02/13/2016
2016-111816,63,BREAKING OR ENTERING VEHICLE,"3217 SUMMIT CT
Little Rock, Arkansas
(34.782326, -92.378364)",10/4/16
2016-132851,62,BREAKING OR ENTERING VEHICLE,"8601 COLONEL GLENN RD
Little Rock, Arkansas
(34.71054, -92.371495)",11/26/16
2016-127466,62,BREAKING OR ENTERING VEHICLE,"4819 STAGECOACH RD
Little Rock, Arkansas
(34.708433, -92.380237)",11/11/16
2016-105446,50,BREAKING OR ENTERING VEHICLE,"1923 SHADOW LN
Little Rock, Arkansas
(34.769722, -92.325338)",07/20/2016-09/18/2016
2016-143681,93,BREAKING OR ENTERING VEHICLE,"31 NANDINA CIR
Little Rock, Arkansas
(34.654653, -92.432895)",12/23/16
2016-142487,60,BREAKING OR ENTERING VEHICLE,"304 S UNIVERSITY
Little Rock, Arkansas
(34.750127, -92.341282)",12/20/16
2016-045245,50,BREAKING OR ENTERING VEHICLE,"5614 I ST
Little Rock, Arkansas
(34.760191, -92.336319)",03/30/2016-04/10/2016
2016-018065,63,BREAKING OR ENTERING VEHICLE,"1221 RESERVOIR RD
Little Rock, Arkansas
(34.76275, -92.376184)",02/17/2016-02/18/2016
2016-030713,70,BREAKING OR ENTERING VEHICLE,"11810 PLEASANT RIDGE RD
Little Rock, Arkansas
(34.794054, -92.407437)",03/20/2016-03/21/2016
2016-113577,52,BREAKING OR ENTERING VEHICLE,"3101 DR MARTIN LUTHER KING DR
Little Rock, Arkansas
(34.718633, -92.290019)",10/07/2016-10/08/2016
2016-012222,71,BREAKING OR ENTERING VEHICLE,"12811 MORRISON RD
Little Rock, Arkansas
(34.766135, -92.417103)",02/01/2016-02/02/2016
2016-145246,52,BREAKING OR ENTERING VEHICLE,"2515 S RINGO ST
Little Rock, Arkansas
(34.724146, -92.286132)",12/28/2016-12/28/2016
2016-139046,52,BREAKING OR ENTERING VEHICLE,"2224 S SUMMIT ST
Little Rock, Arkansas
(34.727457, -92.295365)",12/11/2016-12/12/2016
2016-129370,70,BREAKING OR ENTERING VEHICLE,"11800 PLEASANT RIDGE RD
Little Rock, Arkansas
(34.794903, -92.407206)",11/16/16
2016-121788,64,BREAKING OR ENTERING VEHICLE,"11401 MESA DR
Little Rock, Arkansas
(34.756846, -92.401087)",10/27/2016-10/28/2016
2016-137028,60,BREAKING OR ENTERING VEHICLE,"7575 CANTRELL RD
Little Rock, Arkansas
(34.771185, -92.35679)",12/7/16
2016-145750,43,BREAKING OR ENTERING VEHICLE,"820 E 23RD ST
Little Rock, Arkansas
(34.726446, -92.264274)",12/29/16
2016-131788,61,BREAKING OR ENTERING VEHICLE,"1523 S CLEVELAND ST
Little Rock, Arkansas
(34.738217, -92.344933)",11/23/16
2016-129502,64,BREAKING OR ENTERING VEHICLE,"11700 COLONEL GLENN RD
Little Rock, Arkansas
(34.712608, -92.404208)",11/16/2016-11/17/2016
2016-129385,70,BREAKING OR ENTERING VEHICLE,"11810 PLEASANT RIDGE RD
Little Rock, Arkansas
(34.794054, -92.407437)",11/16/16
2016-039353,70,BREAKING OR ENTERING VEHICLE,"14511 CECIL DR
Little Rock, Arkansas
(34.795707, -92.434619)",04/10/2016-04/11/2016
2016-014794,93,BREAKING OR ENTERING VEHICLE,"79 WESTFIELD LOOP
Little Rock, Arkansas
(34.664027, -92.427964)",02/08/2016-02/09/2016
2016-030406,71,BREAKING OR ENTERING VEHICLE,"500 NAPA VALLEY DR
Little Rock, Arkansas
(34.759726, -92.41156)",03/19/2016-03/20/2016
2016-098944,50,BREAKING OR ENTERING VEHICLE,"5021 STONEWALL RD
Little Rock, Arkansas
(34.770934, -92.329266)",09/01/2016-09/02/2016
2016-116244,60,BREAKING OR ENTERING VEHICLE,"7700 INDIAN TRL
Little Rock, Arkansas
(34.774274, -92.359856)",10/13/2016-10/14/2016
2016-127963,82,BREAKING OR ENTERING VEHICLE,"7321 VALLEY DR
Little Rock, Arkansas
(34.662228, -92.360405)",11/13/16
2016-120847,40,BREAKING OR ENTERING VEHICLE,"920 S SCOTT ST
Little Rock, Arkansas
(34.739214, -92.270825)",10/25/2016-10/26/2016
2016-144457,71,BREAKING OR ENTERING VEHICLE,"300 OAK MEADOW DR
Little Rock, Arkansas
(34.752007, -92.42966)",12/26/16
2016-127696,80,BREAKING OR ENTERING VEHICLE,"3901 S UNIVERSITY AVE
Little Rock, Arkansas
(34.716309, -92.342369)",11/12/16
2016-111908,63,BREAKING OR ENTERING VEHICLE,"2706 ECHO VALLEY DR
Little Rock, Arkansas
(34.777546, -92.379576)",10/03/2016-10/04/2016
2016-131674,53,BREAKING OR ENTERING VEHICLE,"3901 W MARKHAM ST
Little Rock, Arkansas
(34.75137, -92.316827)",11/22/16
2016-094397,72,BREAKING OR ENTERING VEHICLE,"11 ROBYN LN
Little Rock, Arkansas
(34.794941, -92.446901)",08/21/2016-08/22/2016
2016-116456,70,BREAKING OR ENTERING VEHICLE,"11520 SOUTHRIDGE DR
Little Rock, Arkansas
(34.796942, -92.40111)",10/14/2016-10/15/2016
2016-146360,91,BREAKING OR ENTERING VEHICLE,"7614 NOLEN DR
Little Rock, Arkansas
(34.662799, -92.363742)",12/31/16
2016-131987,54,BREAKING OR ENTERING VEHICLE,"1309 FAIR PARK BLVD
Little Rock, Arkansas
(34.739652, -92.334536)",11/22/2016-11/23/2016
2016-109095,53,BREAKING OR ENTERING VEHICLE,"111 PEARL AVE
Little Rock, Arkansas
(34.750309, -92.304765)",07/20/2016-09/27/2016
2016-034810,40,BREAKING OR ENTERING VEHICLE,"523 S LOUISIANA ST
Little Rock, Arkansas
(34.743567, -92.272457)",03/30/2016-03/31/2016
2016-145478,64,BREAKING OR ENTERING VEHICLE,"1640 JOHN BARROW RD
Little Rock, Arkansas
(34.738012, -92.372374)",12/28/16
2016-051390,72,BREAKING OR ENTERING VEHICLE,"30 AYLA DR
Little Rock, Arkansas
(34.814404, -92.467299)",5/10/2016-5/11/2016
2016-011492,63,BREAKING OR ENTERING VEHICLE,"4 WARWICK RD
Little Rock, Arkansas
(34.761419, -92.387758)",01/30/2016-01/31/2016
2016-137075,60,BREAKING OR ENTERING VEHICLE,"8100 CANTRELL RD
Little Rock, Arkansas
(34.776801, -92.36618)",12/06/2016-12/07/2016
2016-141917,64,BREAKING OR ENTERING VEHICLE,"2600 S SHACKLEFORD RD
Little Rock, Arkansas
(34.733347, -92.394709)",12/19/16
2016-129975,81,BREAKING OR ENTERING VEHICLE,"3423 AVERY RD
Little Rock, Arkansas
(34.673267, -92.316717)",11/18/16
2016-145985,80,BREAKING OR ENTERING VEHICLE,"5502 W 51ST ST
Little Rock, Arkansas
(34.703294, -92.336994)",12/30/16
2016-036328,50,BREAKING OR ENTERING VEHICLE,"16 BRANCH DR
Little Rock, Arkansas
(34.755235, -92.301017)",04/03/2016-04/04/2016
2016-115605,61,BREAKING OR ENTERING VEHICLE,"85 BELMONT DR
Little Rock, Arkansas
(34.733272, -92.348543)",06/12/2016-06/13/2016
2016-126491,70,BREAKING OR ENTERING VEHICLE,"701 GREEN MOUNTAIN DR
Little Rock, Arkansas
(34.759552, -92.401101)",11/08/2016-11/09/2016
2016-120084,71,BREAKING OR ENTERING VEHICLE,"14201 KANIS RD
Little Rock, Arkansas
(34.74542, -92.431403)",10/23/2016-10/24/2016
2016-144524,71,BREAKING OR ENTERING VEHICLE,"12206 W MARKHAM ST
Little Rock, Arkansas
(34.754153, -92.410707)",12/25/2016-12/26/2016
2016-036183,91,BREAKING OR ENTERING VEHICLE,"6614 ONYX DR
Little Rock, Arkansas
(34.65129, -92.353065)",04/03/2016-04/04/2016
2016-137226,60,BREAKING OR ENTERING VEHICLE,"420 S UNIVERSITY AVE
Little Rock, Arkansas
(34.749245, -92.3413)",12/6/16
2016-050543,81,BREAKING OR ENTERING VEHICLE,"5805 W 65TH ST
Little Rock, Arkansas
(34.690621, -92.341317)",05/08/2016-05/09/2016
2016-144851,60,BREAKING OR ENTERING VEHICLE,"400 N UNIVERSITY AVE
Little Rock, Arkansas
(34.755115, -92.34114)",12/27/16
2016-002759,72,BREAKING OR ENTERING VEHICLE,"23 CHEMIN CT
Little Rock, Arkansas
(34.815747, -92.510519)",01/07/2016-01/08/2016
2016-143016,64,BREAKING OR ENTERING VEHICLE,"904 AUTUMN RD
Little Rock, Arkansas
(34.745886, -92.4028)",12/21/16
2016-028881,50,BREAKING OR ENTERING VEHICLE,"901 N TAYLOR ST
Little Rock, Arkansas
(34.759488, -92.335678)",03/15/2016-03/16/2016
2016-053868,40,BREAKING OR ENTERING VEHICLE,"512 E 9TH ST
Little Rock, Arkansas
(34.739573, -92.266456)",05/16/2016-05/17/2016
2016-112827,72,BREAKING OR ENTERING VEHICLE,"11 CHENAL CIR
Little Rock, Arkansas
(34.774314, -92.469502)",10/05/2016-10/06/2016
2016-080421,54,BREAKING OR ENTERING VEHICLE,"2 SAINT VINCENT CIR
Little Rock, Arkansas
(34.750182, -92.338253)",07/17/2016-07/18/2016
2016-116431,51,BREAKING OR ENTERING VEHICLE,"1406 S BATTERY ST
Little Rock, Arkansas
(34.737205, -92.294165)",10/14/2016-10/15/2016
2016-008338,82,BREAKING OR ENTERING VEHICLE,"7417 VEGA DR
Little Rock, Arkansas
(34.659679, -92.361463)",01/22/2016-01/23/2016
2016-134085,71,BREAKING OR ENTERING VEHICLE,"500 NAPA VALLEY DR
Little Rock, Arkansas
(34.759726, -92.41156)",11/28/2016-11/29/2016
2016-053512,64,BREAKING OR ENTERING VEHICLE,"11106 BIRCHWOOD DR
Little Rock, Arkansas
(34.75074, -92.397256)",5/15/2016-5/16/2016
2016-048713,53,BREAKING OR ENTERING VEHICLE,"210 ROSETTA ST
Little Rock, Arkansas
(34.74972, -92.308717)",05/03/2016-05/04/2016
2016-126784,70,BREAKING OR ENTERING VEHICLE,"4710 SAM PECK RD
Little Rock, Arkansas
(34.796078, -92.414903)",11/09/2016-11/10/2016
2016-140202,70,BREAKING OR ENTERING VEHICLE,"11800 PLEASANT RIDGE RD
Little Rock, Arkansas
(34.794903, -92.407206)",12/14/2016-12/15/2016
2016-144822,63,BREAKING OR ENTERING VEHICLE,"1221 RESERVOIR RD
Little Rock, Arkansas
(34.76275, -92.376184)",12/27/2016-12/27/2016
2016-124117,50,BREAKING OR ENTERING VEHICLE,"5811 X ST
Little Rock, Arkansas
(34.775716, -92.338674)",11/02/2016-11/03/2016
2016-050213,60,BREAKING OR ENTERING VEHICLE,"14 BUGLE CT
Little Rock, Arkansas
(34.781445, -92.361505)",05/06/2016-05/07/2016
2016-033980,82,BREAKING OR ENTERING VEHICLE,"6305 SANTA MONICA DR
Little Rock, Arkansas
(34.657477, -92.348126)",03/28/2016-03/29/2016
2016-112916,71,BREAKING OR ENTERING VEHICLE,"134 TAYLOR PARK BLVD
Little Rock, Arkansas
(34.743012, -92.425631)",10/05/2016-10/06/2016
2016-143442,70,BREAKING OR ENTERING VEHICLE,"2601 SHENANDOAH VALLEY DR
Little Rock, Arkansas
(34.776682, -92.39647)",12/22/2016-12/23/2016
2016-141158,52,BREAKING OR ENTERING VEHICLE,"2701 S GAINES ST
Little Rock, Arkansas
(34.722418, -92.281385)",12/14/2016-12/17/2016
2016-040031,63,BREAKING OR ENTERING VEHICLE,"18 BRENNAN LN
Little Rock, Arkansas
(34.764724, -92.374243)",4/10/2016-4/11/2016
2016-112800,63,BREAKING OR ENTERING VEHICLE,"8 MEREDITH CT
Little Rock, Arkansas
(34.770195, -92.374773)",10/05/2016-10/06/2016
2016-117865,54,BREAKING OR ENTERING VEHICLE,"1 SAINT VINCENT CIR
Little Rock, Arkansas
(34.749778, -92.338411)",10/15/2016-10/18/2016
2016-127553,71,BREAKING OR ENTERING VEHICLE,"601 NAPA VALLEY DR
Little Rock, Arkansas
(34.76001, -92.411552)",11/11/2016-11/12/2016
2016-144163,61,BREAKING OR ENTERING VEHICLE,"3 ELKHART CT
Little Rock, Arkansas
(34.728562, -92.365052)",12/24/2016-12/25/2016
2016-093802,40,BREAKING OR ENTERING VEHICLE,"1200 S COMMERCE ST
Little Rock, Arkansas
(34.737348, -92.267534)",08/19/2016-08/20/2016
2016-121114,63,BREAKING OR ENTERING VEHICLE,"1200 N MISSISSIPPI ST
Little Rock, Arkansas
(34.763819, -92.358385)",10/26/16
2016-108025,50,BREAKING OR ENTERING VEHICLE,"4905 LEE AVE
Little Rock, Arkansas
(34.755556, -92.328412)",09/23/2016-09/24/2016
2016-008716,71,BREAKING OR ENTERING VEHICLE,"501 NAPA VALLEY DR
Little Rock, Arkansas
(34.758991, -92.411363)",01/20/2016-01/25/2016
2016-030933,82,BREAKING OR ENTERING VEHICLE,"9500 S HEIGHTS RD
Little Rock, Arkansas
(34.664446, -92.331797)",07/01/2015-03/20/2016
2016-144298,82,BREAKING OR ENTERING VEHICLE,"9121 LEW DR
Little Rock, Arkansas
(34.666521, -92.340365)",12/24/2016-12/25/2016
2016-144550,60,BREAKING OR ENTERING VEHICLE,"2805 FOXCROFT RD
Little Rock, Arkansas
(34.777655, -92.362357)",12/25/2016-12/26/2016
2016-015562,64,BREAKING OR ENTERING VEHICLE,"11400 W MARKHAM ST
Little Rock, Arkansas
(34.75393, -92.399487)",02/10/2015-02/11/2015
2016-042007,60,BREAKING OR ENTERING VEHICLE,"7024 ROCKWOOD RD
Little Rock, Arkansas
(34.782868, -92.352169)",04/17/2016-04/18/2016
2016-126900,64,BREAKING OR ENTERING VEHICLE,"2700 S SHACKLEFORD RD
Little Rock, Arkansas
(34.729393, -92.394867)",11/10/16
2016-019995,72,BREAKING OR ENTERING VEHICLE,"4114 FOREST DALE DR
Little Rock, Arkansas
(34.789606, -92.444625)",2/22/2016-2/23/2016
2016-144486,80,BREAKING OR ENTERING VEHICLE,"4605 GUM SPRINGS RD
Little Rock, Arkansas
(34.700601, -92.327171)",12/25/16
2016-131848,64,BREAKING OR ENTERING VEHICLE,"9201 KANIS RD
Little Rock, Arkansas
(34.741583, -92.377205)",11/22/2016-11/23/2016
2016-143395,54,BREAKING OR ENTERING VEHICLE,"1712 TULANE AVE
Little Rock, Arkansas
(34.735383, -92.324144)",12/22/2016-12/23/2016
2016-139382,60,BREAKING OR ENTERING VEHICLE,"320 S UNIVERSITY AVE
Little Rock, Arkansas
(34.75, -92.341281)",12/12/2016-12/13/2016
2016-140064,40,BREAKING OR ENTERING VEHICLE,"501 E 9TH ST
Little Rock, Arkansas
(34.739582, -92.266976)",12/14/16
2016-141735,62,BREAKING OR ENTERING VEHICLE,"3124 WALKER ST
Little Rock, Arkansas
(34.72427, -92.366344)",12/18/2016-12/19/2016
2016-138704,41,BREAKING OR ENTERING VEHICLE,"212 W CHARLES BUSSEY AVE
Little Rock, Arkansas
(34.729746, -92.275505)",12/10/16
