IncidentNumber,District,offenseDesc1,IncidentAddress,IncidentDate
2016-088571,92,AUTOTHEFT,"6 PONDS EDGE LN
Little Rock, Arkansas",8/6/2016-8/7/2016
2016-000983,71,AUTOTHEFT,"420 NAPA VALLEY DR
Little Rock, Arkansas",1/3/15
2016-008720,80,AUTOTHEFT,"0
Little Rock, Arkansas",1/24/16
2016-013567,93,AUTOTHEFT,"0 MABELVALE WEST RD
Little Rock, Arkansas",2/5/16
2016-021640,82,AUTOTHEFT,"7309 WOODBRIDGE DR
Little Rock, Arkansas",2/27/16
2016-031538,91,AUTOTHEFT,"13100 HEINKE RD
Little Rock, Arkansas",3/23/16
2016-032281,91,AUTOTHEFT,"8312 SPANN RD
Little Rock, Arkansas",3/25/16
2016-045982,91,AUTOTHEFT,"3100 N UNIVERSITY
Little Rock, Arkansas",4/27/16
2016-064249,40,AUTOTHEFT,"300 FERRY ST
Little Rock, Arkansas",6/11/16
2016-098968,53,AUTOTHEFT,"0
Little Rock, Arkansas",9/2/16 0:00
2016-105124,40,AUTOTHEFT,"600 E PRESIDENT CLINTON
Little Rock, Arkansas",9/17/16
2016-132725,61,AUTOTHEFT,"7300 W 12TH ST
Little Rock, Arkansas",11/25/16
2016-003236,71,AUTOTHEFT,"420 NAPA VALLEY DR
Little Rock, Arkansas",01/08/2016-01/09/2016
2016-007704,53,AUTOTHEFT,"3924 W ROOSEVELT RD
Little Rock, Arkansas",01/20/2016-01/21/2016
2016-021998,71,AUTOTHEFT,"420 NAPA VALLEY DR
Little Rock, Arkansas",02/27/2016-02/28/2016
2016-028261,91,AUTOTHEFT,"7912 CLAYBROOK RD
Little Rock, Arkansas",03/14/2016-03/15/2016
2016-059259,51,AUTOTHEFT,"0
Little Rock, Arkansas",5/28/2016-5/30/2016
2016-065857,91,AUTOTHEFT,"8500 CASTLE VALLEY RD
Little Rock, Arkansas",6/2/2016-6/14/2016
2016-071928,91,AUTOTHEFT,"9817 MABELVALE PIKE
Little Rock, Arkansas",6/21/2016-6/29/2016
2016-093730,91,AUTOTHEFT,"8500 CASTLE VALLEY RD
Little Rock, Arkansas",8/18/2016-8/20/2016
2016-089308,91,AUTOTHEFT,"8412 MABELVALE CTF
Little Rock, Arkansas",8/8/2016-8/9/2016
2016-103296,93,AUTOTHEFT,"502 STAGECOACH VILLAGE CIR
Little Rock, Arkansas",9/12/2016-9/13/2016
2016-106229,80,BATTERY 1ST DEGREE,"6500 S ARCH ST
Little Rock, Arkansas",9/19/16
2016-131729,54,BATTERY 1ST DEGREE,"4000 INTERSTATE 630
Little Rock, Arkansas",11/22/16
2016-078032,90,BATTERY 2ND DEGREE,"13700 DAVID O DODD RD
Little Rock, Arkansas",7/12/2016-7/13/2016
2016-040130,64,BATTERY 2ND DEGREE,"1515 KANIS PARK DR
Little Rock, Arkansas",4/13/16
2016-110776,91,BREAKING OR ENTERING VEHICLE,"2 COURTFIELD DR
Little Rock, Arkansas",10/1/16
2016-121197,91,BREAKING OR ENTERING VEHICLE,"8120 OXFORD VALLEY DR
Little Rock, Arkansas",10/27/16
2016-145673,91,BREAKING OR ENTERING VEHICLE,"11022 APPOMATTOX DR
Little Rock, Arkansas",12/29/16
2016-145607,92,BREAKING OR ENTERING VEHICLE,"57 ANGEL CT
Little Rock, Arkansas",12/29/16
2016-145568,92,BREAKING OR ENTERING VEHICLE,"47 ANGEL CT
Little Rock, Arkansas",12/29/16
2016-145268,92,BREAKING OR ENTERING VEHICLE,"76 PINEDALE CIR
Little Rock, Arkansas",12/27/2016-12/28/2016
2016-009839,62,BREAKING OR ENTERING VEHICLE,"3524 W 36TH ST
Little Rock, Arkansas",1/27/16
2016-112927,71,BREAKING OR ENTERING VEHICLE,"13121 HINSON RD
Little Rock, Arkansas",10/6/16
2016-125948,64,BREAKING OR ENTERING VEHICLE,"0
Little Rock, Arkansas",11/7/14
2016-001097,61,BREAKING OR ENTERING VEHICLE,"1024 S MISSISSIPPI ST
Little Rock, Arkansas",1/3/16
2016-005475,91,BREAKING OR ENTERING VEHICLE,"11309 APPOMATTOX DR
Little Rock, Arkansas",1/15/16
2016-005467,91,BREAKING OR ENTERING VEHICLE,"8802 PEA RIDGE
Little Rock, Arkansas",1/15/16
2016-009215,70,BREAKING OR ENTERING VEHICLE,"99 N RODNEY PARHAM RD
Little Rock, Arkansas",1/25/16
2016-009177,62,BREAKING OR ENTERING VEHICLE,"10800 MARA LYNN DR
Little Rock, Arkansas",1/25/16
2016-010464,92,BREAKING OR ENTERING VEHICLE,"12024 VIMY RIDGE RD
Little Rock, Arkansas",1/28/16
2016-010361,71,BREAKING OR ENTERING VEHICLE,"420 NAPA VALLEY DR
Little Rock, Arkansas",1/28/16
2016-011437,40,BREAKING OR ENTERING VEHICLE,"200 FERRY ST
Little Rock, Arkansas",1/31/16
2016-021357,72,BREAKING OR ENTERING VEHICLE,"0 CHALAMONT DR
Little Rock, Arkansas",2/26/16
2016-024519,92,BREAKING OR ENTERING VEHICLE,"14103 PLEASANT HILL RD
Little Rock, Arkansas",3/5/16
2016-026309,91,BREAKING OR ENTERING VEHICLE,"8306 OXFORD VALLEY DR
Little Rock, Arkansas",3/10/16
2016-027312,91,BREAKING OR ENTERING VEHICLE,"7706 MABELVALE CTF
Little Rock, Arkansas",3/12/16
2016-031424,91,BREAKING OR ENTERING VEHICLE,"3 SHENANDOAH CIR
Little Rock, Arkansas",3/18/16
2016-029566,91,BREAKING OR ENTERING VEHICLE,"8909 MANASSAS CIR
Little Rock, Arkansas",3/18/16
2016-031936,91,BREAKING OR ENTERING VEHICLE,"8415 FAIRWOOD RD
Little Rock, Arkansas",3/23/16
2016-032154,91,BREAKING OR ENTERING VEHICLE,"11224 HEINKE RD
Little Rock, Arkansas",3/24/16
2016-031925,91,BREAKING OR ENTERING VEHICLE,"7812 BUNCH RD
Little Rock, Arkansas",3/24/16
2016-041011,92,BREAKING OR ENTERING VEHICLE,"14101 PLEASANT HILL RD
Little Rock, Arkansas",4/15/16
2016-048183,91,BREAKING OR ENTERING VEHICLE,"12721 COULTER LAKE RD
Little Rock, Arkansas",5/3/16
2016-051866,43,BREAKING OR ENTERING VEHICLE,"703 EDGEWOOD RD
Little Rock, Arkansas",5/12/16
2016-057382,64,BREAKING OR ENTERING VEHICLE,"0
Little Rock, Arkansas",5/25/16
2016-069925,70,BREAKING OR ENTERING VEHICLE,"100 RIVERCREST DR
Little Rock, Arkansas",6/24/16
2016-084315,91,BREAKING OR ENTERING VEHICLE,"4 PECAN ORCHARD CV
Little Rock, Arkansas",7/27/16
2016-086900,91,BREAKING OR ENTERING VEHICLE,"9401 MABELVALE CTF
Little Rock, Arkansas",8/3/16
